"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	15093	13
2020-02-28	0	126	0	16254	14
2020-02-29	0	191	0	17415	15
2020-03-01	0	263	0	19737	17
2020-03-02	0	346	0	19737	16
2020-03-03	0	436	0	22059	18
2020-03-04	0	538	0	25542	21
2020-03-05	0	649	0	27864	21
2020-03-06	0	778	0	32508	24
2020-03-07	0	915	0	35991	26
2020-03-08	0	1071	0	41796	32
2020-03-09	0	1252	0	49923	37
2020-03-10	0	1456	0	61533	45
2020-03-11	0	1696	0	71982	52
2020-03-12	0	1979	0	98685	72
2020-03-13	0	2331	0	113778	82
2020-03-14	0	2722	0	138159	101
2020-03-15	0	3161	0	170667	123
2020-03-16	0	3733	0	208980	153
2020-03-17	0	4389	0	249615	182
2020-03-18	0	5173	0	314631	233
2020-03-19	0	6166	0	392418	293
2020-03-20	0	7331	0	489942	365
2020-03-21	0	8576	0	586305	435
2020-03-22	0	9922	0	673380	486
2020-03-23	0	11596	0	788319	575
2020-03-24	0	13522	0	917190	654
2020-03-25	0	15665	0	1057671	754
2020-03-26	0	18006	0	1188864	840
2020-03-27	0	20606	0	1324701	923
2020-03-28	0	23145	0	1445445	987
2020-03-29	0	25637	0	1552257	1038
2020-03-30	0	28275	0	1702026	1122
2020-03-31	0	30841	0	1830897	1187
2020-04-01	0	33309	0	1920294	1205
2020-04-02	0	35755	0	2034072	1250
2020-04-03	0	38207	0	2123469	1277
2020-04-04	0	40448	0	2200095	1282
2020-04-05	0	42639	0	2288331	1306
2020-04-06	0	44950	0	2359152	1313
2020-04-07	0	47121	0	2428812	1315
2020-04-08	0	49152	0	2496150	1286
2020-04-09	0	51008	0	2556522	1283
2020-04-10	0	52775	0	2614572	1290
2020-04-11	0	54355	0	2649402	1260
2020-04-12	0	55879	0	2688876	1241
2020-04-13	0	57394	0	2741121	1225
2020-04-14	0	58923	0	2785239	1203
2020-04-15	0	60366	0	2814264	1178
2020-04-16	0	61698	0	2849094	1144
2020-04-17	0	62988	0	2879280	1113
2020-04-18	0	64138	0	2901339	1068
2020-04-19	0	65260	0	2924559	1037
2020-04-20	0	66421	0	2955906	1016
2020-04-21	0	67536	0	2982609	981
2020-04-22	0	68571	0	3000024	923
2020-04-23	0	69565	0	3018600	882
2020-04-24	0	70503	0	3040659	864
2020-04-25	0	71312	0	3056913	833
2020-04-26	0	72091	0	3072006	806
2020-04-27	0	72854	0	3088260	785
2020-04-28	0	73633	0	3105675	764
2020-04-29	0	74354	0	3119607	736
2020-04-30	0	75051	0	3140505	712
2020-05-01	0	75694	0	3150954	678
2020-05-02	0	76254	0	3161403	639
2020-05-03	0	76798	0	3174174	626
2020-05-04	0	77390	0	3188106	615
2020-05-05	0	77915	0	3191589	574
2020-05-06	0	78455	0	3199716	548
2020-05-07	0	78969	0	3211326	527
2020-05-08	0	79482	0	3219453	495
2020-05-09	0	79947	0	3225258	473
2020-05-10	0	80394	0	3229902	455
2020-05-11	0	80870	0	3239190	449
2020-05-12	0	81317	0	3241512	407
2020-05-13	0	81738	0	3246156	391
2020-05-14	0	82126	0	3256605	365
2020-05-15	0	82493	0	3260088	348
2020-05-16	0	82817	0	3269376	333
2020-05-17	0	83155	0	3274020	327
2020-05-18	0	83525	0	3278664	322
2020-05-19	0	83871	0	3279825	288
2020-05-20	0	84203	0	3282147	278
2020-05-21	0	84501	0	3284469	257
2020-05-22	0	84829	0	3289113	246
2020-05-23	0	85121	0	3293757	231
2020-05-24	0	85405	0	3301884	230
2020-05-25	0	85724	0	3303045	220
2020-05-26	0	86037	0	3307689	197
2020-05-27	0	86320	0	3312333	183
2020-05-28	0	86582	0	3313494	175
2020-05-29	0	86846	0	3316977	165
2020-05-30	0	87093	0	3320460	156
2020-05-31	0	87335	0	3323943	158
2020-06-01	0	87581	0	3329748	156
2020-06-02	0	87849	0	3330909	151
2020-06-03	0	88108	0	3336714	137
2020-06-04	0	88352	0	3343680	135
2020-06-05	0	88579	0	3347163	132
2020-06-06	0	88773	0	3349485	130
2020-06-07	0	88967	0	3352968	129
2020-06-08	0	89161	0	3352968	127
2020-06-09	0	89335	0	3355290	120
2020-06-10	0	89493	0	3357612	117
2020-06-11	0	89655	0	3358773	113
2020-06-12	0	89808	0	3362256	110
2020-06-13	0	89942	0	3364578	108
2020-06-14	0	90075	0	3364578	107
2020-06-15	0	90211	0	3365739	106
2020-06-16	0	90347	0	3368061	97
2020-06-17	0	90475	0	3368061	88
2020-06-18	0	90604	0	3369222	81
2020-06-19	0	90729	0	3369222	74
2020-06-20	0	90835	0	3371544	74
2020-06-21	0	90942	0	3371544	70
2020-06-22	0	91052	0	3375027	72
2020-06-23	0	91163	0	3376188	65
2020-06-24	0	91273	0	3377349	61
2020-06-25	0	91390	0	3377349	59
2020-06-26	0	91503	0	3377349	53
2020-06-27	0	91595	0	3377349	49
2020-06-28	0	91691	0	3377349	45
2020-06-29	0	91796	0	3377349	45
2020-06-30	0	91887	0	3379671	45
2020-07-01	0	91976	0	3379671	41
2020-07-02	0	92058	0	3383154	43
2020-07-03	0	92140	0	3383154	40
2020-07-04	0	92212	0	3384315	41
2020-07-05	0	92287	0	3384315	39
2020-07-06	0	92366	0	3384315	38
2020-07-07	0	92447	0	3385476	36
2020-07-08	0	92526	0	3387798	33
2020-07-09	0	92605	0	3388959	33
2020-07-10	0	92694	0	3390120	34
2020-07-11	0	92775	0	3390120	32
2020-07-12	0	92856	0	3391281	33
2020-07-13	0	92944	0	3391281	32
2020-07-14	0	93033	0	3391281	29
2020-07-15	0	93115	0	3392442	29
2020-07-16	0	93193	0	3393603	28
2020-07-17	0	93269	0	3393603	28
2020-07-18	0	93352	0	3393603	27
2020-07-19	0	93438	0	3394764	28
2020-07-20	0	93527	0	3395925	28
2020-07-21	0	93615	0	3398247	28
2020-07-22	0	93692	0	3399408	28
2020-07-23	0	93776	0	3400569	26
2020-07-24	0	93858	0	3401730	25
2020-07-25	0	93943	0	3402891	22
2020-07-26	0	94030	0	3406374	23
2020-07-27	0	94125	0	3409857	26
2020-07-28	0	94223	0	3409857	26
2020-07-29	0	94312	0	3409857	25
2020-07-30	0	94405	0	3413340	27
2020-07-31	0	94502	0	3417984	30
2020-08-01	0	94600	0	3420306	31
2020-08-02	0	94708	0	3422628	32
2020-08-03	0	94826	0	3426111	35
2020-08-04	0	94937	0	3429594	37
2020-08-05	0	95043	0	3431916	36
2020-08-06	0	95148	0	3435399	39
2020-08-07	0	95260	0	3436560	39
2020-08-08	0	95379	0	3437721	40
2020-08-09	0	95511	0	3444687	45
2020-08-10	0	95653	0	3449331	43
2020-08-11	0	95814	0	3452814	45
2020-08-12	0	95977	0	3457458	45
2020-08-13	0	96140	0	3462102	43
2020-08-14	0	96298	0	3469068	48
2020-08-15	0	96452	0	3470229	46
2020-08-16	0	96615	0	3474873	47
2020-08-17	0	96795	0	3484161	55
2020-08-18	0	96970	0	3486483	51
2020-08-19	0	97148	0	3489966	50
2020-08-20	0	97335	0	3496932	52
2020-08-21	0	97516	0	3502737	55
2020-08-22	0	97677	0	3502737	51
2020-08-23	0	97839	0	3508542	53
2020-08-24	0	98005	0	3510864	53
2020-08-25	0	98178	0	3514347	48
2020-08-26	0	98341	0	3514347	46
2020-08-27	0	98489	0	3516669	45
2020-08-28	0	98639	0	3518991	43
2020-08-29	0	98772	0	3522474	44
2020-08-30	0	98907	0	3525957	49
2020-08-31	0	99053	0	3527118	48
2020-09-01	0	99198	0	3529440	44
2020-09-02	0	99349	0	3531762	43
2020-09-03	0	99495	0	3535245	44
2020-09-04	0	99648	0	3539889	48
2020-09-05	0	99801	0	3541050	44
2020-09-06	0	99972	0	3545694	48
2020-09-07	0	100164	0	3549177	49
2020-09-08	0	100370	0	3552660	48
2020-09-09	0	100596	0	3557304	49
2020-09-10	0	100816	0	3563109	52
2020-09-11	0	101056	0	3570075	57
2020-09-12	0	101293	0	3577041	61
2020-09-13	0	101543	0	3581685	63
2020-09-14	0	101834	0	3594456	74
2020-09-15	0	102133	0	3599100	74
2020-09-16	0	102459	0	3600261	69
2020-09-17	0	102803	0	3606066	70
2020-09-18	0	103185	0	3614193	73
2020-09-19	0	103585	0	3630447	86
2020-09-20	0	104005	0	3645540	97
2020-09-21	0	104477	0	3660633	106
2020-09-22	0	104979	0	3673404	113
2020-09-23	0	105524	0	3688497	122
2020-09-24	0	106118	0	3701268	129
2020-09-25	0	106740	0	3722166	143
2020-09-26	0	107357	0	3737259	148
2020-09-27	0	108007	0	3758157	159
2020-09-28	0	108712	0	3775572	166
2020-09-29	0	109454	0	3802275	176
2020-09-30	0	110213	0	3819690	177
2020-10-01	0	111000	0	3834783	181
2020-10-02	0	111809	0	3851037	181
2020-10-03	0	112640	0	3873096	191
2020-10-04	0	113511	0	3897477	202
2020-10-05	0	114487	0	3929985	217
2020-10-06	0	115508	0	3969459	239
2020-10-07	0	116552	0	4004289	252
2020-10-08	0	117624	0	4029831	258
2020-10-09	0	118772	0	4062339	274
2020-10-10	0	119902	0	4093686	273
2020-10-11	0	121090	0	4115745	279
2020-10-12	0	122425	0	4163346	302
2020-10-13	0	123857	0	4205142	321
2020-10-14	0	125283	0	4245777	341
2020-10-15	0	126736	0	4289895	359
2020-10-16	0	128238	0	4353750	396
2020-10-17	0	129731	0	4388580	391
2020-10-18	0	131259	0	4436181	414
2020-10-19	0	132939	0	4505841	452
2020-10-20	0	134677	0	4563891	478
2020-10-21	0	136449	0	4619619	493
2020-10-22	0	138293	0	4669542	506
2020-10-23	0	140218	0	4731075	520
2020-10-24	0	142075	0	4774032	524
2020-10-25	0	144004	0	4828599	540
2020-10-26	0	146093	0	4898259	567
2020-10-27	0	148191	0	4955148	578
2020-10-28	0	150266	0	5014359	596
2020-10-29	0	152312	0	5067765	607
2020-10-30	0	154378	0	5116527	614
2020-10-31	0	156365	0	5172255	623
2020-11-01	0	158374	0	5222178	632
2020-11-02	0	160592	0	5291838	658
2020-11-03	0	162757	0	5328990	653
2020-11-04	0	164855	0	5375430	658
2020-11-05	0	166882	0	5416065	650
2020-11-06	0	168833	0	5456700	647
2020-11-07	0	170634	0	5501979	639
2020-11-08	0	172415	0	5553063	644
2020-11-09	0	174341	0	5600664	645
2020-11-10	0	176204	0	5643621	648
2020-11-11	0	178021	0	5685417	643
2020-11-12	0	179786	0	5733018	648
2020-11-13	0	181532	0	5769009	650
2020-11-14	0	183144	0	5794551	617
2020-11-15	0	184751	0	5834025	621
2020-11-16	0	186505	0	5875821	617
2020-11-17	0	188230	0	5909490	604
2020-11-18	0	189897	0	5945481	588
2020-11-19	0	191503	0	5990760	590
2020-11-20	0	193019	0	6024429	581
2020-11-21	0	194438	0	6048810	567
2020-11-22	0	195891	0	6077835	562
2020-11-23	0	197474	0	6108021	564
2020-11-24	0	199010	0	6148656	557
2020-11-25	0	200475	0	6196257	563
2020-11-26	0	201946	0	6231087	558
2020-11-27	0	203409	0	6250824	541
2020-11-28	0	204772	0	6275205	535
2020-11-29	0	206140	0	6297264	520
2020-11-30	0	207593	0	6327450	517
2020-12-01	0	209000	0	6362280	510
2020-12-02	0	210370	0	6397110	511
2020-12-03	0	211747	0	6431940	499
2020-12-04	0	213157	0	6470253	509
2020-12-05	0	214519	0	6499278	503
2020-12-06	0	215922	0	6531786	508
2020-12-07	0	217436	0	6556167	504
2020-12-08	0	218935	0	6602607	514
2020-12-09	0	220417	0	6638598	506
2020-12-10	0	221896	0	6676911	511
2020-12-11	0	223447	0	6718707	508
2020-12-12	0	224970	0	6744249	505
2020-12-13	0	226546	0	6793011	530
2020-12-14	0	228294	0	6822036	535
2020-12-15	0	230037	0	6874281	548
2020-12-16	0	231807	0	6916077	559
2020-12-17	0	233621	0	6971805	584
2020-12-18	0	235490	0	7017084	591
2020-12-19	0	237262	0	7067007	602
2020-12-20	0	239048	0	7130862	624
2020-12-21	0	241031	0	7168014	621
2020-12-22	0	243032	0	7217937	629
2020-12-23	0	245059	0	7273665	646
2020-12-24	0	247104	0	7330554	651
2020-12-25	0	249048	0	7372350	644
2020-12-26	0	251031	0	7421112	657
2020-12-27	0	253105	0	7472196	673
2020-12-28	0	255462	0	7552305	708
2020-12-29	0	257798	0	7624287	728
2020-12-30	0	260093	0	7677693	736
2020-12-31	0	262309	0	7724133	737
2021-01-01	0	264362	0	7770573	725
2021-01-02	0	266465	0	7817013	730
2021-01-03	0	268592	0	7869258	732
2021-01-04	0	270844	0	7936596	750
2021-01-05	0	273062	0	7999290	746
2021-01-06	0	275223	0	8051535	733
2021-01-07	0	277326	0	8095653	732
2021-01-08	0	279367	0	8147898	730
2021-01-09	0	281234	0	8183889	710
2021-01-10	0	283111	0	8219880	706
2021-01-11	0	285120	0	8263998	718
2021-01-12	0	287064	0	8316243	725
2021-01-13	0	288951	0	8358039	726
2021-01-14	0	290776	0	8397513	709
2021-01-15	0	292583	0	8440470	702
2021-01-16	0	294263	0	8471817	684
2021-01-17	0	295898	0	8515935	692
2021-01-18	0	297659	0	8563536	702
2021-01-19	0	299407	0	8603010	695
2021-01-20	0	301080	0	8641323	687
2021-01-21	0	302754	0	8687763	692
2021-01-22	0	304407	0	8728398	684
2021-01-23	0	305982	0	8766711	673
2021-01-24	0	307567	0	8796897	671
2021-01-25	0	309247	0	8860752	694
2021-01-26	0	310881	0	8900226	685
2021-01-27	0	312453	0	8932734	659
2021-01-28	0	313984	0	8983818	661
2021-01-29	0	315526	0	9015165	656
2021-01-30	0	316998	0	9051156	642
2021-01-31	0	318505	0	9092952	658
2021-02-01	0	320118	0	9127782	661
2021-02-02	0	321698	0	9160290	642
2021-02-03	0	323220	0	9193959	627
2021-02-04	0	324710	0	9224145	603
2021-02-05	0	326191	0	9246204	572
2021-02-06	0	327547	0	9270585	546
2021-02-07	0	328886	0	9294966	532
2021-02-08	0	330330	0	9332118	544
2021-02-09	0	331748	0	9355338	541
2021-02-10	0	333167	0	9387846	541
2021-02-11	0	334572	0	9424998	539
2021-02-12	0	335954	0	9463311	535
2021-02-13	0	337239	0	9488853	529
2021-02-14	0	338530	0	9519039	534
2021-02-15	0	339935	0	9560835	547
2021-02-16	0	341324	0	9606114	542
2021-02-17	0	342697	0	9647910	542
2021-02-18	0	344077	0	9679257	530
2021-02-19	0	345436	0	9716409	533
2021-02-20	0	346700	0	9762849	539
2021-02-21	0	347963	0	9804645	554
2021-02-22	0	349337	0	9841797	566
2021-02-23	0	350700	0	9871983	553
2021-02-24	0	352046	0	9906813	549
2021-02-25	0	353353	0	9961380	560
2021-02-26	0	354648	0	9995049	545
2021-02-27	0	355887	0	10019430	526
2021-02-28	0	357142	0	10068192	545
2021-03-01	0	358521	0	10127403	576
2021-03-02	0	359881	0	10172682	570
2021-03-03	0	361194	0	10212156	559
