"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	23803	13
2020-02-28	0	126	0	25634	14
2020-02-29	0	191	0	27465	15
2020-03-01	0	263	0	31127	17
2020-03-02	0	346	0	31127	16
2020-03-03	0	436	0	34789	18
2020-03-04	0	538	0	40282	21
2020-03-05	0	649	0	43944	21
2020-03-06	0	778	0	51268	24
2020-03-07	0	915	0	56761	26
2020-03-08	0	1071	0	65916	32
2020-03-09	0	1252	0	78733	37
2020-03-10	0	1456	0	97043	45
2020-03-11	0	1696	0	113522	52
2020-03-12	0	1979	0	155635	72
2020-03-13	0	2331	0	179438	82
2020-03-14	0	2722	0	217889	101
2020-03-15	0	3161	0	269157	123
2020-03-16	0	3733	0	329580	153
2020-03-17	0	4389	0	393665	182
2020-03-18	0	5173	0	496201	233
2020-03-19	0	6166	0	618878	293
2020-03-20	0	7331	0	772682	365
2020-03-21	0	8576	0	924655	435
2020-03-22	0	9922	0	1061980	486
2020-03-23	0	11596	0	1243249	575
2020-03-24	0	13522	0	1446490	654
2020-03-25	0	15665	0	1668041	754
2020-03-26	0	18006	0	1874944	840
2020-03-27	0	20606	0	2089171	923
2020-03-28	0	23145	0	2279595	987
2020-03-29	0	25637	0	2448047	1038
2020-03-30	0	28275	0	2684246	1122
2020-03-31	0	30841	0	2887487	1187
2020-04-01	0	33309	0	3028474	1205
2020-04-02	0	35755	0	3207912	1250
2020-04-03	0	38207	0	3348899	1277
2020-04-04	0	40448	0	3469745	1282
2020-04-05	0	42639	0	3608901	1306
2020-04-06	0	44950	0	3720592	1313
2020-04-07	0	47121	0	3830452	1315
2020-04-08	0	49152	0	3936650	1286
2020-04-09	0	51008	0	4031862	1283
2020-04-10	0	52775	0	4123412	1290
2020-04-11	0	54355	0	4178342	1260
2020-04-12	0	55879	0	4240596	1241
2020-04-13	0	57394	0	4322991	1225
2020-04-14	0	58923	0	4392569	1203
2020-04-15	0	60366	0	4438344	1178
2020-04-16	0	61698	0	4493274	1144
2020-04-17	0	62988	0	4540880	1113
2020-04-18	0	64138	0	4575669	1068
2020-04-19	0	65260	0	4612289	1037
2020-04-20	0	66421	0	4661726	1016
2020-04-21	0	67536	0	4703839	981
2020-04-22	0	68571	0	4731304	923
2020-04-23	0	69565	0	4760600	882
2020-04-24	0	70503	0	4795389	864
2020-04-25	0	71312	0	4821023	833
2020-04-26	0	72091	0	4844826	806
2020-04-27	0	72854	0	4870460	785
2020-04-28	0	73633	0	4897925	764
2020-04-29	0	74354	0	4919897	736
2020-04-30	0	75051	0	4952855	712
2020-05-01	0	75694	0	4969334	678
2020-05-02	0	76254	0	4985813	639
2020-05-03	0	76798	0	5005954	626
2020-05-04	0	77390	0	5027926	615
2020-05-05	0	77915	0	5033419	574
2020-05-06	0	78455	0	5046236	548
2020-05-07	0	78969	0	5064546	527
2020-05-08	0	79482	0	5077363	495
2020-05-09	0	79947	0	5086518	473
2020-05-10	0	80394	0	5093842	455
2020-05-11	0	80870	0	5108490	449
2020-05-12	0	81317	0	5112152	407
2020-05-13	0	81738	0	5119476	391
2020-05-14	0	82126	0	5135955	365
2020-05-15	0	82493	0	5141448	348
2020-05-16	0	82817	0	5156096	333
2020-05-17	0	83155	0	5163420	327
2020-05-18	0	83525	0	5170744	322
2020-05-19	0	83871	0	5172575	288
2020-05-20	0	84203	0	5176237	278
2020-05-21	0	84501	0	5179899	257
2020-05-22	0	84829	0	5187223	246
2020-05-23	0	85121	0	5194547	231
2020-05-24	0	85405	0	5207364	230
2020-05-25	0	85724	0	5209195	220
2020-05-26	0	86037	0	5216519	197
2020-05-27	0	86320	0	5223843	183
2020-05-28	0	86582	0	5225674	175
2020-05-29	0	86846	0	5231167	165
2020-05-30	0	87093	0	5236660	156
2020-05-31	0	87335	0	5242153	158
2020-06-01	0	87581	0	5251308	156
2020-06-02	0	87849	0	5253139	151
2020-06-03	0	88108	0	5262294	137
2020-06-04	0	88352	0	5273280	135
2020-06-05	0	88579	0	5278773	132
2020-06-06	0	88773	0	5282435	130
