"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	6591490	694039	4725	13	13
2020-02-28	6591490	694104	4725	14	14
2020-02-29	6591490	694169	4725	15	15
2020-03-01	6591490	694241	4725	17	17
2020-03-02	6591490	694324	4725	17	16
2020-03-03	6591490	694414	4725	19	18
2020-03-04	6591490	694515	4725	22	21
2020-03-05	6591490	694625	4725	24	21
2020-03-06	6591490	694753	4725	28	24
2020-03-07	6591490	694889	4725	31	26
2020-03-08	6591490	695044	4725	36	32
2020-03-09	6591490	695224	4725	43	37
2020-03-10	6591490	695427	4725	53	45
2020-03-11	6591490	695666	4725	62	52
2020-03-12	6591490	695948	4725	85	72
2020-03-13	6591490	696299	4725	98	82
2020-03-14	6591490	696689	4725	119	101
2020-03-15	6591490	697127	4725	147	124
2020-03-16	6591490	697698	4725	180	154
2020-03-17	6591490	698353	4725	215	183
2020-03-18	6591490	699136	4725	271	234
2020-03-19	6591490	700128	4725	338	294
2020-03-20	6591490	701292	4725	422	366
2020-03-21	6591490	702536	4725	505	436
2020-03-22	6591490	703881	4725	580	487
2020-03-23	6591490	705554	4725	679	575
2020-03-24	6591490	707479	4725	790	654
2020-03-25	6591490	709621	4725	911	754
2020-03-26	6591490	711961	4725	1024	840
2020-03-27	6591490	714560	4725	1141	923
2020-03-28	6591490	717098	4725	1245	987
2020-03-29	6591490	719589	4725	1337	1038
2020-03-30	6591490	722226	4725	1466	1122
2020-03-31	6591490	724791	4725	1577	1187
2020-04-01	6591490	727258	4725	1654	1205
2020-04-02	6591490	729703	4725	1752	1250
2020-04-03	6591490	732154	4725	1829	1277
2020-04-04	6591490	734394	4725	1895	1282
2020-04-05	6591490	736584	4725	1971	1306
2020-04-06	6591490	738894	4725	2032	1313
2020-04-07	6591490	741064	4725	2092	1315
2020-04-08	6591490	743094	4725	2150	1286
2020-04-09	6591490	744949	4725	2202	1283
2020-04-10	6591490	746715	4725	2252	1290
2020-04-11	6591490	748294	4725	2282	1260
2020-04-12	6591490	749817	4725	2316	1241
2020-04-13	6591490	751331	4725	2361	1225
2020-04-14	6591490	752859	4725	2399	1203
2020-04-15	6591490	754301	4725	2424	1178
2020-04-16	6591490	755631	4725	2454	1144
2020-04-17	6591490	756919	4725	2480	1113
2020-04-18	6591490	758067	4725	2499	1068
2020-04-19	6591490	759187	4725	2519	1037
2020-04-20	6591490	760346	4725	2546	1016
2020-04-21	6591490	761459	4725	2569	981
2020-04-22	6591490	762492	4725	2584	923
2020-04-23	6591490	763484	4725	2600	882
2020-04-24	6591490	764420	4725	2619	864
2020-04-25	6591490	765227	4725	2633	833
2020-04-26	6591490	766004	4725	2646	806
2020-04-27	6591490	766766	4725	2660	785
2020-04-28	6591490	767544	4725	2675	764
2020-04-29	6591490	768264	4725	2687	736
2020-04-30	6591490	768960	4725	2705	712
2020-05-01	6591490	769602	4725	2714	678
2020-05-02	6591490	770162	4725	2723	639
2020-05-03	6591490	770706	4725	2734	626
2020-05-04	6591490	771298	4725	2746	615
2020-05-05	6591490	771823	4725	2749	574
2020-05-06	6591490	772363	4725	2756	548
2020-05-07	6591490	772877	4725	2766	527
2020-05-08	6591490	773390	4725	2773	495
2020-05-09	6591490	773855	4725	2778	473
2020-05-10	6591490	774302	4725	2782	455
2020-05-11	6591490	774778	4725	2790	449
2020-05-12	6591490	775225	4725	2792	407
2020-05-13	6591490	775646	4725	2796	391
2020-05-14	6591490	776034	4725	2805	365
2020-05-15	6591490	776401	4725	2808	348
2020-05-16	6591490	776725	4725	2816	333
2020-05-17	6591490	777063	4725	2820	327
2020-05-18	6591490	777433	4725	2824	322
2020-05-19	6591490	777779	4725	2825	288
2020-05-20	6591490	778111	4725	2827	278
2020-05-21	6591490	778409	4725	2829	257
2020-05-22	6591490	778737	4725	2833	246
2020-05-23	6591490	779029	4725	2837	231
2020-05-24	6591490	779313	4725	2844	230
2020-05-25	6591490	779632	4725	2845	220
2020-05-26	6591490	779945	4725	2849	197
2020-05-27	6591490	780228	4725	2853	183
2020-05-28	6591490	780490	4725	2854	175
2020-05-29	6591490	780754	4725	2857	165
2020-05-30	6591490	781001	4725	2860	156
2020-05-31	6591490	781243	4725	2863	158
2020-06-01	6591490	781489	4725	2868	156
2020-06-02	6591490	781757	4725	2869	151
