"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	13221	13
2020-02-28	0	126	0	14238	14
2020-02-29	0	191	0	15255	15
2020-03-01	0	263	0	17289	17
2020-03-02	0	346	0	17289	16
2020-03-03	0	436	0	19323	18
2020-03-04	0	538	0	22374	21
2020-03-05	0	649	0	24408	21
2020-03-06	0	778	0	28476	24
2020-03-07	0	915	0	31527	26
2020-03-08	0	1071	0	36612	32
2020-03-09	0	1252	0	43731	37
2020-03-10	0	1456	0	53901	45
2020-03-11	0	1696	0	63054	52
2020-03-12	0	1979	0	86445	72
2020-03-13	0	2331	0	99666	82
2020-03-14	0	2722	0	121023	101
2020-03-15	0	3161	0	149499	123
2020-03-16	0	3733	0	183060	153
2020-03-17	0	4389	0	218655	182
2020-03-18	0	5173	0	275607	233
2020-03-19	0	6166	0	343746	293
2020-03-20	0	7331	0	429174	365
2020-03-21	0	8576	0	513585	435
2020-03-22	0	9922	0	589860	486
2020-03-23	0	11596	0	690543	575
2020-03-24	0	13522	0	803430	654
2020-03-25	0	15665	0	926487	754
2020-03-26	0	18006	0	1041408	840
2020-03-27	0	20606	0	1160397	923
2020-03-28	0	23145	0	1266165	987
2020-03-29	0	25637	0	1359729	1038
2020-03-30	0	28275	0	1490922	1122
2020-03-31	0	30841	0	1603809	1187
2020-04-01	0	33309	0	1682118	1205
2020-04-02	0	35755	0	1781784	1250
2020-04-03	0	38207	0	1860093	1277
2020-04-04	0	40448	0	1927215	1282
2020-04-05	0	42639	0	2004507	1306
2020-04-06	0	44950	0	2066544	1313
2020-04-07	0	47121	0	2127564	1315
2020-04-08	0	49152	0	2186550	1286
2020-04-09	0	51008	0	2239434	1283
2020-04-10	0	52775	0	2290284	1290
2020-04-11	0	54355	0	2320794	1260
2020-04-12	0	55879	0	2355372	1241
2020-04-13	0	57394	0	2401137	1225
2020-04-14	0	58923	0	2439783	1203
2020-04-15	0	60366	0	2465208	1178
2020-04-16	0	61698	0	2495718	1144
2020-04-17	0	62988	0	2522160	1113
2020-04-18	0	64138	0	2541483	1068
2020-04-19	0	65260	0	2561823	1037
2020-04-20	0	66421	0	2589282	1016
2020-04-21	0	67536	0	2612673	981
2020-04-22	0	68571	0	2627928	923
2020-04-23	0	69565	0	2644200	882
2020-04-24	0	70503	0	2663523	864
2020-04-25	0	71312	0	2677761	833
2020-04-26	0	72091	0	2690982	806
2020-04-27	0	72854	0	2705220	785
2020-04-28	0	73633	0	2720475	764
2020-04-29	0	74354	0	2732679	736
2020-04-30	0	75051	0	2750985	712
2020-05-01	0	75694	0	2760138	678
2020-05-02	0	76254	0	2769291	639
2020-05-03	0	76798	0	2780478	626
2020-05-04	0	77390	0	2792682	615
2020-05-05	0	77915	0	2795733	574
2020-05-06	0	78455	0	2802852	548
2020-05-07	0	78969	0	2813022	527
2020-05-08	0	79482	0	2820141	495
2020-05-09	0	79947	0	2825226	473
2020-05-10	0	80394	0	2829294	455
2020-05-11	0	80870	0	2837430	449
2020-05-12	0	81317	0	2839464	407
2020-05-13	0	81738	0	2843532	391
2020-05-14	0	82126	0	2852685	365
2020-05-15	0	82493	0	2855736	348
2020-05-16	0	82817	0	2863872	333
2020-05-17	0	83155	0	2867940	327
2020-05-18	0	83525	0	2872008	322
2020-05-19	0	83871	0	2873025	288
2020-05-20	0	84203	0	2875059	278
2020-05-21	0	84501	0	2877093	257
2020-05-22	0	84829	0	2881161	246
2020-05-23	0	85121	0	2885229	231
2020-05-24	0	85405	0	2892348	230
2020-05-25	0	85724	0	2893365	220
2020-05-26	0	86037	0	2897433	197
2020-05-27	0	86320	0	2901501	183
2020-05-28	0	86582	0	2902518	175
2020-05-29	0	86846	0	2905569	165
2020-05-30	0	87093	0	2908620	156
2020-05-31	0	87335	0	2911671	158
2020-06-01	0	87581	0	2916756	156
2020-06-02	0	87849	0	2917773	151
2020-06-03	0	88108	0	2922858	137
2020-06-04	0	88352	0	2928960	135
2020-06-05	0	88579	0	2932011	132
2020-06-06	0	88773	0	2934045	130
2020-06-07	0	88967	0	2937096	129
2020-06-08	0	89161	0	2937096	127
2020-06-09	0	89335	0	2939130	120
2020-06-10	0	89493	0	2941164	117
2020-06-11	0	89655	0	2942181	113
2020-06-12	0	89808	0	2945232	110
2020-06-13	0	89942	0	2947266	108
2020-06-14	0	90075	0	2947266	107
2020-06-15	0	90211	0	2948283	106
2020-06-16	0	90347	0	2950317	97
2020-06-17	0	90475	0	2950317	88
2020-06-18	0	90604	0	2951334	81
2020-06-19	0	90729	0	2951334	74
2020-06-20	0	90835	0	2953368	74
2020-06-21	0	90942	0	2953368	70
2020-06-22	0	91052	0	2956419	72
2020-06-23	0	91163	0	2957436	65
2020-06-24	0	91273	0	2958453	61
2020-06-25	0	91390	0	2958453	59
2020-06-26	0	91503	0	2958453	53
2020-06-27	0	91595	0	2958453	49
2020-06-28	0	91691	0	2958453	45
2020-06-29	0	91796	0	2958453	45
2020-06-30	0	91887	0	2960487	45
2020-07-01	0	91976	0	2960487	41
2020-07-02	0	92058	0	2963538	43
2020-07-03	0	92140	0	2963538	40
2020-07-04	0	92212	0	2964555	41
2020-07-05	0	92287	0	2964555	39
2020-07-06	0	92366	0	2964555	38
2020-07-07	0	92447	0	2965572	36
2020-07-08	0	92526	0	2967606	33
2020-07-09	0	92605	0	2968623	33
2020-07-10	0	92694	0	2969640	34
2020-07-11	0	92775	0	2969640	32
2020-07-12	0	92856	0	2970657	33
2020-07-13	0	92944	0	2970657	32
2020-07-14	0	93033	0	2970657	29
2020-07-15	0	93115	0	2971674	29
2020-07-16	0	93193	0	2972691	28
2020-07-17	0	93269	0	2972691	28
2020-07-18	0	93352	0	2972691	27
2020-07-19	0	93438	0	2973708	28
2020-07-20	0	93527	0	2974725	28
2020-07-21	0	93615	0	2976759	28
2020-07-22	0	93692	0	2977776	28
2020-07-23	0	93776	0	2978793	26
2020-07-24	0	93858	0	2979810	25
2020-07-25	0	93943	0	2980827	22
2020-07-26	0	94030	0	2983878	23
2020-07-27	0	94125	0	2986929	26
2020-07-28	0	94223	0	2986929	26
2020-07-29	0	94312	0	2986929	25
2020-07-30	0	94405	0	2989980	27
2020-07-31	0	94502	0	2994048	30
2020-08-01	0	94600	0	2996082	31
2020-08-02	0	94708	0	2998116	32
2020-08-03	0	94826	0	3001167	35
2020-08-04	0	94937	0	3004218	37
2020-08-05	0	95043	0	3006252	36
2020-08-06	0	95148	0	3009303	39
2020-08-07	0	95260	0	3010320	39
2020-08-08	0	95379	0	3011337	40
2020-08-09	0	95511	0	3017439	45
2020-08-10	0	95653	0	3021507	43
2020-08-11	0	95814	0	3024558	45
2020-08-12	0	95977	0	3028626	45
2020-08-13	0	96140	0	3032694	43
2020-08-14	0	96298	0	3038796	48
2020-08-15	0	96452	0	3039813	46
2020-08-16	0	96615	0	3043881	47
2020-08-17	0	96795	0	3052017	55
2020-08-18	0	96970	0	3054051	51
2020-08-19	0	97148	0	3057102	50
2020-08-20	0	97335	0	3063204	52
2020-08-21	0	97516	0	3068289	55
2020-08-22	0	97677	0	3068289	51
2020-08-23	0	97839	0	3073374	53
2020-08-24	0	98005	0	3075408	53
2020-08-25	0	98178	0	3078459	48
2020-08-26	0	98341	0	3078459	46
2020-08-27	0	98489	0	3080493	45
2020-08-28	0	98639	0	3082527	43
2020-08-29	0	98772	0	3085578	44
2020-08-30	0	98907	0	3088629	49
2020-08-31	0	99053	0	3089646	48
2020-09-01	0	99198	0	3091680	44
2020-09-02	0	99349	0	3093714	43
2020-09-03	0	99495	0	3096765	44
2020-09-04	0	99648	0	3100833	48
2020-09-05	0	99801	0	3101850	44
2020-09-06	0	99972	0	3105918	48
2020-09-07	0	100164	0	3108969	49
2020-09-08	0	100370	0	3112020	48
2020-09-09	0	100596	0	3116088	49
2020-09-10	0	100816	0	3121173	52
2020-09-11	0	101056	0	3127275	57
2020-09-12	0	101293	0	3133377	61
2020-09-13	0	101543	0	3137445	63
2020-09-14	0	101834	0	3148632	74
2020-09-15	0	102133	0	3152700	74
2020-09-16	0	102459	0	3153717	69
2020-09-17	0	102803	0	3158802	70
2020-09-18	0	103185	0	3165921	73
2020-09-19	0	103585	0	3180159	86
2020-09-20	0	104005	0	3193380	97
2020-09-21	0	104477	0	3206601	106
