"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	3250	13
2020-02-28	0	126	0	3500	14
2020-02-29	0	191	0	3750	15
2020-03-01	0	263	0	4250	17
2020-03-02	0	346	0	4250	16
2020-03-03	0	436	0	4750	18
2020-03-04	0	538	0	5500	21
2020-03-05	0	649	0	6000	21
2020-03-06	0	778	0	7000	24
2020-03-07	0	915	0	7750	26
2020-03-08	0	1071	0	9000	32
2020-03-09	0	1252	0	10750	37
2020-03-10	0	1456	0	13250	45
2020-03-11	0	1696	0	15500	52
2020-03-12	0	1979	0	21250	72
2020-03-13	0	2331	0	24500	82
2020-03-14	0	2722	0	29750	101
2020-03-15	0	3161	0	36750	123
2020-03-16	0	3733	0	45000	153
2020-03-17	0	4389	0	53750	182
2020-03-18	0	5173	0	67750	233
2020-03-19	0	6166	0	84500	293
2020-03-20	0	7331	0	105500	365
2020-03-21	0	8576	0	126250	435
2020-03-22	0	9922	0	145000	486
2020-03-23	0	11596	0	169750	575
2020-03-24	0	13522	0	197500	654
2020-03-25	0	15665	0	227750	754
2020-03-26	0	18006	0	256000	840
2020-03-27	0	20606	0	285250	923
2020-03-28	0	23145	0	311250	987
2020-03-29	0	25637	0	334250	1038
2020-03-30	0	28275	0	366500	1122
2020-03-31	0	30841	0	394250	1187
2020-04-01	0	33309	0	413500	1205
2020-04-02	0	35755	0	438000	1250
2020-04-03	0	38207	0	457250	1277
2020-04-04	0	40448	0	473750	1282
2020-04-05	0	42639	0	492750	1306
2020-04-06	0	44950	0	508000	1313
2020-04-07	0	47121	0	523000	1315
2020-04-08	0	49152	0	537500	1286
2020-04-09	0	51008	0	550500	1283
2020-04-10	0	52775	0	563000	1290
2020-04-11	0	54355	0	570500	1260
2020-04-12	0	55879	0	579000	1241
2020-04-13	0	57394	0	590250	1225
2020-04-14	0	58923	0	599750	1203
2020-04-15	0	60366	0	606000	1178
2020-04-16	0	61698	0	613500	1144
2020-04-17	0	62988	0	620000	1113
2020-04-18	0	64138	0	624750	1068
2020-04-19	0	65260	0	629750	1037
2020-04-20	0	66421	0	636500	1016
2020-04-21	0	67536	0	642250	981
2020-04-22	0	68571	0	646000	923
2020-04-23	0	69565	0	650000	882
2020-04-24	0	70503	0	654750	864
2020-04-25	0	71312	0	658250	833
2020-04-26	0	72091	0	661500	806
2020-04-27	0	72854	0	665000	785
2020-04-28	0	73633	0	668750	764
2020-04-29	0	74354	0	671750	736
2020-04-30	0	75051	0	676250	712
2020-05-01	0	75694	0	678500	678
2020-05-02	0	76254	0	680750	639
2020-05-03	0	76798	0	683500	626
