"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	11180	13
2020-02-28	0	126	0	12040	14
2020-02-29	0	191	0	12900	15
2020-03-01	0	263	0	14620	17
2020-03-02	0	346	0	14620	16
2020-03-03	0	436	0	16340	18
2020-03-04	0	538	0	18920	21
2020-03-05	0	649	0	20640	21
2020-03-06	0	778	0	24080	24
2020-03-07	0	915	0	26660	26
2020-03-08	0	1071	0	30960	32
2020-03-09	0	1252	0	36980	37
2020-03-10	0	1456	0	45580	45
2020-03-11	0	1696	0	53320	52
2020-03-12	0	1979	0	73100	72
2020-03-13	0	2331	0	84280	82
2020-03-14	0	2722	0	102340	101
2020-03-15	0	3161	0	126420	123
2020-03-16	0	3733	0	154800	153
2020-03-17	0	4389	0	184900	182
2020-03-18	0	5173	0	233060	233
2020-03-19	0	6166	0	290680	293
2020-03-20	0	7331	0	362920	365
2020-03-21	0	8576	0	434300	435
2020-03-22	0	9922	0	498800	486
2020-03-23	0	11596	0	583940	575
2020-03-24	0	13522	0	679400	654
2020-03-25	0	15665	0	783460	754
2020-03-26	0	18006	0	880640	840
2020-03-27	0	20606	0	981260	923
2020-03-28	0	23145	0	1070700	987
2020-03-29	0	25637	0	1149820	1038
2020-03-30	0	28275	0	1260760	1122
2020-03-31	0	30841	0	1356220	1187
2020-04-01	0	33309	0	1422440	1205
2020-04-02	0	35755	0	1506720	1250
2020-04-03	0	38207	0	1572940	1277
2020-04-04	0	40448	0	1629700	1282
2020-04-05	0	42639	0	1695060	1306
2020-04-06	0	44950	0	1747520	1313
2020-04-07	0	47121	0	1799120	1315
2020-04-08	0	49152	0	1849000	1286
2020-04-09	0	51008	0	1893720	1283
2020-04-10	0	52775	0	1936720	1290
2020-04-11	0	54355	0	1962520	1260
2020-04-12	0	55879	0	1991760	1241
2020-04-13	0	57394	0	2030460	1225
2020-04-14	0	58923	0	2063140	1203
2020-04-15	0	60366	0	2084640	1178
2020-04-16	0	61698	0	2110440	1144
2020-04-17	0	62988	0	2132800	1113
2020-04-18	0	64138	0	2149140	1068
2020-04-19	0	65260	0	2166340	1037
2020-04-20	0	66421	0	2189560	1016
2020-04-21	0	67536	0	2209340	981
2020-04-22	0	68571	0	2222240	923
2020-04-23	0	69565	0	2236000	882
2020-04-24	0	70503	0	2252340	864
2020-04-25	0	71312	0	2264380	833
2020-04-26	0	72091	0	2275560	806
2020-04-27	0	72854	0	2287600	785
2020-04-28	0	73633	0	2300500	764
2020-04-29	0	74354	0	2310820	736
2020-04-30	0	75051	0	2326300	712
2020-05-01	0	75694	0	2334040	678
2020-05-02	0	76254	0	2341780	639
2020-05-03	0	76798	0	2351240	626
2020-05-04	0	77390	0	2361560	615
2020-05-05	0	77915	0	2364140	574
2020-05-06	0	78455	0	2370160	548
2020-05-07	0	78969	0	2378760	527
2020-05-08	0	79482	0	2384780	495
2020-05-09	0	79947	0	2389080	473
2020-05-10	0	80394	0	2392520	455
2020-05-11	0	80870	0	2399400	449
2020-05-12	0	81317	0	2401120	407
2020-05-13	0	81738	0	2404560	391
2020-05-14	0	82126	0	2412300	365
2020-05-15	0	82493	0	2414880	348
2020-05-16	0	82817	0	2421760	333
2020-05-17	0	83155	0	2425200	327
2020-05-18	0	83525	0	2428640	322
2020-05-19	0	83871	0	2429500	288
2020-05-20	0	84203	0	2431220	278
2020-05-21	0	84501	0	2432940	257
2020-05-22	0	84829	0	2436380	246
2020-05-23	0	85121	0	2439820	231
2020-05-24	0	85405	0	2445840	230
2020-05-25	0	85724	0	2446700	220
2020-05-26	0	86037	0	2450140	197
2020-05-27	0	86320	0	2453580	183
2020-05-28	0	86582	0	2454440	175
2020-05-29	0	86846	0	2457020	165
2020-05-30	0	87093	0	2459600	156
2020-05-31	0	87335	0	2462180	158
2020-06-01	0	87581	0	2466480	156
2020-06-02	0	87849	0	2467340	151
2020-06-03	0	88108	0	2471640	137
2020-06-04	0	88352	0	2476800	135
2020-06-05	0	88579	0	2479380	132
2020-06-06	0	88773	0	2481100	130
2020-06-07	0	88967	0	2483680	129
2020-06-08	0	89161	0	2483680	127
2020-06-09	0	89335	0	2485400	120
2020-06-10	0	89493	0	2487120	117
2020-06-11	0	89655	0	2487980	113
2020-06-12	0	89808	0	2490560	110
2020-06-13	0	89942	0	2492280	108
2020-06-14	0	90075	0	2492280	107
2020-06-15	0	90211	0	2493140	106
2020-06-16	0	90347	0	2494860	97
2020-06-17	0	90475	0	2494860	88
2020-06-18	0	90604	0	2495720	81
2020-06-19	0	90729	0	2495720	74
2020-06-20	0	90835	0	2497440	74
2020-06-21	0	90942	0	2497440	70
2020-06-22	0	91052	0	2500020	72
2020-06-23	0	91163	0	2500880	65
2020-06-24	0	91273	0	2501740	61
2020-06-25	0	91390	0	2501740	59
2020-06-26	0	91503	0	2501740	53
2020-06-27	0	91595	0	2501740	49
2020-06-28	0	91691	0	2501740	45
2020-06-29	0	91796	0	2501740	45
2020-06-30	0	91887	0	2503460	45
2020-07-01	0	91976	0	2503460	41
2020-07-02	0	92058	0	2506040	43
2020-07-03	0	92140	0	2506040	40
2020-07-04	0	92212	0	2506900	41
2020-07-05	0	92287	0	2506900	39
2020-07-06	0	92366	0	2506900	38
2020-07-07	0	92447	0	2507760	36
2020-07-08	0	92526	0	2509480	33
2020-07-09	0	92605	0	2510340	33
2020-07-10	0	92694	0	2511200	34
2020-07-11	0	92775	0	2511200	32
2020-07-12	0	92856	0	2512060	33
2020-07-13	0	92944	0	2512060	32
2020-07-14	0	93033	0	2512060	29
2020-07-15	0	93115	0	2512920	29
2020-07-16	0	93193	0	2513780	28
2020-07-17	0	93269	0	2513780	28
2020-07-18	0	93352	0	2513780	27
2020-07-19	0	93438	0	2514640	28
2020-07-20	0	93527	0	2515500	28
2020-07-21	0	93615	0	2517220	28
2020-07-22	0	93692	0	2518080	28
2020-07-23	0	93776	0	2518940	26
2020-07-24	0	93858	0	2519800	25
2020-07-25	0	93943	0	2520660	22
2020-07-26	0	94030	0	2523240	23
2020-07-27	0	94125	0	2525820	26
2020-07-28	0	94223	0	2525820	26
2020-07-29	0	94312	0	2525820	25
2020-07-30	0	94405	0	2528400	27
2020-07-31	0	94502	0	2531840	30
2020-08-01	0	94600	0	2533560	31
2020-08-02	0	94708	0	2535280	32
2020-08-03	0	94826	0	2537860	35
2020-08-04	0	94937	0	2540440	37
2020-08-05	0	95043	0	2542160	36
2020-08-06	0	95148	0	2544740	39
2020-08-07	0	95260	0	2545600	39
2020-08-08	0	95379	0	2546460	40
2020-08-09	0	95511	0	2551620	45
2020-08-10	0	95653	0	2555060	43
2020-08-11	0	95814	0	2557640	45
2020-08-12	0	95977	0	2561080	45
2020-08-13	0	96140	0	2564520	43
2020-08-14	0	96298	0	2569680	48
2020-08-15	0	96452	0	2570540	46
2020-08-16	0	96615	0	2573980	47
2020-08-17	0	96795	0	2580860	55
2020-08-18	0	96970	0	2582580	51
2020-08-19	0	97148	0	2585160	50
2020-08-20	0	97335	0	2590320	52
2020-08-21	0	97516	0	2594620	55
2020-08-22	0	97677	0	2594620	51
2020-08-23	0	97839	0	2598920	53
2020-08-24	0	98005	0	2600640	53
2020-08-25	0	98178	0	2603220	48
2020-08-26	0	98341	0	2603220	46
2020-08-27	0	98489	0	2604940	45
2020-08-28	0	98639	0	2606660	43
2020-08-29	0	98772	0	2609240	44
2020-08-30	0	98907	0	2611820	49
2020-08-31	0	99053	0	2612680	48
2020-09-01	0	99198	0	2614400	44
2020-09-02	0	99349	0	2616120	43
2020-09-03	0	99495	0	2618700	44
2020-09-04	0	99648	0	2622140	48
2020-09-05	0	99801	0	2623000	44
2020-09-06	0	99972	0	2626440	48
2020-09-07	0	100164	0	2629020	49
2020-09-08	0	100370	0	2631600	48
2020-09-09	0	100596	0	2635040	49
2020-09-10	0	100816	0	2639340	52
2020-09-11	0	101056	0	2644500	57
2020-09-12	0	101293	0	2649660	61
2020-09-13	0	101543	0	2653100	63
2020-09-14	0	101834	0	2662560	74
2020-09-15	0	102133	0	2666000	74
2020-09-16	0	102459	0	2666860	69
2020-09-17	0	102803	0	2671160	70
2020-09-18	0	103185	0	2677180	73
2020-09-19	0	103585	0	2689220	86
2020-09-20	0	104005	0	2700400	97
2020-09-21	0	104477	0	2711580	106
2020-09-22	0	104979	0	2721040	113
2020-09-23	0	105524	0	2732220	122
2020-09-24	0	106118	0	2741680	129
2020-09-25	0	106740	0	2757160	143
2020-09-26	0	107357	0	2768340	148
2020-09-27	0	108007	0	2783820	159
2020-09-28	0	108712	0	2796720	166
2020-09-29	0	109454	0	2816500	176
2020-09-30	0	110213	0	2829400	177
2020-10-01	0	111000	0	2840580	181
2020-10-02	0	111809	0	2852620	181
2020-10-03	0	112640	0	2868960	191
2020-10-04	0	113511	0	2887020	202
2020-10-05	0	114487	0	2911100	217
2020-10-06	0	115508	0	2940340	239
2020-10-07	0	116552	0	2966140	252
2020-10-08	0	117624	0	2985060	258
2020-10-09	0	118772	0	3009140	274
2020-10-10	0	119902	0	3032360	273
2020-10-11	0	121090	0	3048700	279
2020-10-12	0	122425	0	3083960	302
2020-10-13	0	123857	0	3114920	321
2020-10-14	0	125283	0	3145020	341
2020-10-15	0	126736	0	3177700	359
2020-10-16	0	128238	0	3225000	396
2020-10-17	0	129731	0	3250800	391
2020-10-18	0	131259	0	3286060	414
2020-10-19	0	132939	0	3337660	452
2020-10-20	0	134677	0	3380660	478
2020-10-21	0	136449	0	3421940	493
2020-10-22	0	138293	0	3458920	506
2020-10-23	0	140218	0	3504500	520
2020-10-24	0	142075	0	3536320	524
2020-10-25	0	144004	0	3576740	540
2020-10-26	0	146093	0	3628340	567
2020-10-27	0	148191	0	3670480	578
2020-10-28	0	150266	0	3714340	596
2020-10-29	0	152312	0	3753900	607
2020-10-30	0	154378	0	3790020	614
2020-10-31	0	156365	0	3831300	623
2020-11-01	0	158374	0	3868280	632
2020-11-02	0	160592	0	3919880	658
2020-11-03	0	162757	0	3947400	653
2020-11-04	0	164855	0	3981800	658
2020-11-05	0	166882	0	4011900	650
2020-11-06	0	168833	0	4042000	647
2020-11-07	0	170634	0	4075540	639
2020-11-08	0	172415	0	4113380	644
2020-11-09	0	174341	0	4148640	645
2020-11-10	0	176204	0	4180460	648
2020-11-11	0	178021	0	4211420	643
2020-11-12	0	179786	0	4246680	648
2020-11-13	0	181532	0	4273340	650
2020-11-14	0	183144	0	4292260	617
2020-11-15	0	184751	0	4321500	621
2020-11-16	0	186505	0	4352460	617
2020-11-17	0	188230	0	4377400	604
2020-11-18	0	189897	0	4404060	588
2020-11-19	0	191503	0	4437600	590
2020-11-20	0	193019	0	4462540	581
2020-11-21	0	194438	0	4480600	567
2020-11-22	0	195891	0	4502100	562
2020-11-23	0	197474	0	4524460	564
2020-11-24	0	199010	0	4554560	557
2020-11-25	0	200475	0	4589820	563
2020-11-26	0	201946	0	4615620	558
2020-11-27	0	203409	0	4630240	541
2020-11-28	0	204772	0	4648300	535
2020-11-29	0	206140	0	4664640	520
2020-11-30	0	207593	0	4687000	517
2020-12-01	0	209000	0	4712800	510
2020-12-02	0	210370	0	4738600	511
2020-12-03	0	211747	0	4764400	499
2020-12-04	0	213157	0	4792780	509
2020-12-05	0	214519	0	4814280	503
2020-12-06	0	215922	0	4838360	508
2020-12-07	0	217436	0	4856420	504
2020-12-08	0	218935	0	4890820	514
2020-12-09	0	220417	0	4917480	506
2020-12-10	0	221896	0	4945860	511
2020-12-11	0	223447	0	4976820	508
2020-12-12	0	224970	0	4995740	505
2020-12-13	0	226546	0	5031860	530
2020-12-14	0	228294	0	5053360	535
2020-12-15	0	230037	0	5092060	548
2020-12-16	0	231807	0	5123020	559
2020-12-17	0	233621	0	5164300	584
2020-12-18	0	235490	0	5197840	591
2020-12-19	0	237262	0	5234820	602
2020-12-20	0	239048	0	5282120	624
2020-12-21	0	241031	0	5309640	621
2020-12-22	0	243032	0	5346620	629
2020-12-23	0	245059	0	5387900	646
2020-12-24	0	247104	0	5430040	651
2020-12-25	0	249048	0	5461000	644
2020-12-26	0	251031	0	5497120	657
2020-12-27	0	253105	0	5534960	673
2020-12-28	0	255462	0	5594300	708
2020-12-29	0	257798	0	5647620	728
2020-12-30	0	260093	0	5687180	736
2020-12-31	0	262309	0	5721580	737
2021-01-01	0	264362	0	5755980	725
2021-01-02	0	266465	0	5790380	730
2021-01-03	0	268592	0	5829080	732
2021-01-04	0	270844	0	5878960	750
2021-01-05	0	273062	0	5925400	746
2021-01-06	0	275223	0	5964100	733
2021-01-07	0	277326	0	5996780	732
2021-01-08	0	279367	0	6035480	730
2021-01-09	0	281234	0	6062140	710
2021-01-10	0	283111	0	6088800	706
2021-01-11	0	285120	0	6121480	718
2021-01-12	0	287064	0	6160180	725
2021-01-13	0	288951	0	6191140	726
2021-01-14	0	290776	0	6220380	709
2021-01-15	0	292583	0	6252200	702
2021-01-16	0	294263	0	6275420	684
2021-01-17	0	295898	0	6308100	692
2021-01-18	0	297659	0	6343360	702
2021-01-19	0	299407	0	6372600	695
2021-01-20	0	301080	0	6400980	687
2021-01-21	0	302754	0	6435380	692
2021-01-22	0	304407	0	6465480	684
2021-01-23	0	305982	0	6493860	673
2021-01-24	0	307567	0	6516220	671
2021-01-25	0	309247	0	6563520	694
2021-01-26	0	310881	0	6592760	685
2021-01-27	0	312453	0	6616840	659
2021-01-28	0	313984	0	6654680	661
2021-01-29	0	315526	0	6677900	656
2021-01-30	0	316998	0	6704560	642
2021-01-31	0	318505	0	6735520	658
2021-02-01	0	320118	0	6761320	661
2021-02-02	0	321698	0	6785400	642
2021-02-03	0	323220	0	6810340	627
2021-02-04	0	324710	0	6832700	603
2021-02-05	0	326191	0	6849040	572
2021-02-06	0	327547	0	6867100	546
2021-02-07	0	328886	0	6885160	532
2021-02-08	0	330330	0	6912680	544
2021-02-09	0	331748	0	6929880	541
2021-02-10	0	333167	0	6953960	541
2021-02-11	0	334572	0	6981480	539
2021-02-12	0	335954	0	7009860	535
2021-02-13	0	337239	0	7028780	529
2021-02-14	0	338530	0	7051140	534
2021-02-15	0	339935	0	7082100	547
2021-02-16	0	341324	0	7115640	542
2021-02-17	0	342697	0	7146600	542
2021-02-18	0	344077	0	7169820	530
2021-02-19	0	345436	0	7197340	533
2021-02-20	0	346700	0	7231740	539
2021-02-21	0	347963	0	7262700	554
2021-02-22	0	349337	0	7290220	566
2021-02-23	0	350700	0	7312580	553
2021-02-24	0	352046	0	7338380	549
2021-02-25	0	353353	0	7378800	560
2021-02-26	0	354648	0	7403740	545
2021-02-27	0	355887	0	7421800	526
2021-02-28	0	357142	0	7457920	545
2021-03-01	0	358521	0	7501780	576
2021-03-02	0	359881	0	7535320	570
2021-03-03	0	361194	0	7564560	559
2021-03-04	0	362488	0	7600680	571
2021-03-05	0	363766	0	7631640	565
2021-03-06	0	364961	0	7664320	574
2021-03-07	0	366177	0	7692700	575
2021-03-08	0	367504	0	7728820	599
2021-03-09	0	368832	0	7758920	590
2021-03-10	0	370133	0	7795900	601
2021-03-11	0	371424	0	7832020	602
2021-03-12	0	372720	0	7858680	592
2021-03-13	0	373980	0	7887920	578
2021-03-14	0	375266	0	7923180	583
2021-03-15	0	376673	0	7961880	599
2021-03-16	0	378084	0	8000580	609
2021-03-17	0	379482	0	8033260	591
2021-03-18	0	380921	0	8079700	598
2021-03-19	0	382371	0	8120980	610
2021-03-20	0	383777	0	8153660	618
2021-03-21	0	385231	0	8198380	636
2021-03-22	0	386820	0	8232780	648
2021-03-23	0	388375	0	8268900	643
2021-03-24	0	389937	0	8301580	641
2021-03-25	0	391494	0	8352320	658
2021-03-26	0	393073	0	8403920	663
2021-03-27	0	394578	0	8438320	666
2021-03-28	0	396103	0	8468420	672
2021-03-29	0	397816	0	8509700	693
2021-03-30	0	399505	0	8553560	694
2021-03-31	0	401154	0	8605160	708
2021-04-01	0	402818	0	8644720	702
2021-04-02	0	404414	0	8704060	735
2021-04-03	0	405913	0	8743620	745
2021-04-04	0	407426	0	8790920	759
2021-04-05	0	409009	0	8836500	770
2021-04-06	0	410699	0	8883800	785
2021-04-07	0	412383	0	8937980	801
2021-04-08	0	414031	0	8979260	806
2021-04-09	0	415700	0	9026560	810
2021-04-10	0	417279	0	9071280	800
2021-04-11	0	418871	0	9121160	804
2021-04-12	0	420536	0	9163300	807
2021-04-13	0	422147	0	9201140	795
2021-04-14	0	423730	0	9247580	802
2021-04-15	0	425292	0	9302620	819
2021-04-16	0	426890	0	9348200	812
2021-04-17	0	428408	0	9394640	821
2021-04-18	0	429955	0	9441080	820
2021-04-19	0	431699	0	9496120	846
2021-04-20	0	433450	0	9540840	834
2021-04-21	0	435202	0	9584700	842
2021-04-22	0	436952	0	9623400	843
2021-04-23	0	438674	0	9678440	858
2021-04-24	0	440277	0	9722300	841
2021-04-25	0	441907	0	9759280	838
2021-04-26	0	443710	0	9810880	841
2021-04-27	0	445422	0	9855600	838
2021-04-28	0	447257	0	9897740	835
2021-04-29	0	449126	0	9954500	842
