"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	17511	13
2020-02-28	0	126	0	18858	14
2020-02-29	0	191	0	20205	15
2020-03-01	0	263	0	22899	17
2020-03-02	0	346	0	22899	16
2020-03-03	0	436	0	25593	18
2020-03-04	0	538	0	29634	21
2020-03-05	0	649	0	32328	21
2020-03-06	0	778	0	37716	24
2020-03-07	0	915	0	41757	26
2020-03-08	0	1071	0	48492	32
2020-03-09	0	1252	0	57921	37
2020-03-10	0	1456	0	71391	45
2020-03-11	0	1696	0	83514	52
2020-03-12	0	1979	0	114495	72
2020-03-13	0	2331	0	132006	82
2020-03-14	0	2722	0	160293	101
2020-03-15	0	3161	0	198009	123
2020-03-16	0	3733	0	242460	153
2020-03-17	0	4389	0	289605	182
2020-03-18	0	5173	0	365037	233
2020-03-19	0	6166	0	455286	293
2020-03-20	0	7331	0	568434	365
2020-03-21	0	8576	0	680235	435
2020-03-22	0	9922	0	781260	486
2020-03-23	0	11596	0	914613	575
2020-03-24	0	13522	0	1064130	654
2020-03-25	0	15665	0	1227117	754
2020-03-26	0	18006	0	1379328	840
2020-03-27	0	20606	0	1536927	923
2020-03-28	0	23145	0	1677015	987
2020-03-29	0	25637	0	1800939	1038
2020-03-30	0	28275	0	1974702	1122
2020-03-31	0	30841	0	2124219	1187
2020-04-01	0	33309	0	2227938	1205
2020-04-02	0	35755	0	2359944	1250
2020-04-03	0	38207	0	2463663	1277
2020-04-04	0	40448	0	2552565	1282
2020-04-05	0	42639	0	2654937	1306
2020-04-06	0	44950	0	2737104	1313
2020-04-07	0	47121	0	2817924	1315
2020-04-08	0	49152	0	2896050	1286
2020-04-09	0	51008	0	2966094	1283
2020-04-10	0	52775	0	3033444	1290
2020-04-11	0	54355	0	3073854	1260
2020-04-12	0	55879	0	3119652	1241
2020-04-13	0	57394	0	3180267	1225
2020-04-14	0	58923	0	3231453	1203
2020-04-15	0	60366	0	3265128	1178
2020-04-16	0	61698	0	3305538	1144
2020-04-17	0	62988	0	3340560	1113
2020-04-18	0	64138	0	3366153	1068
2020-04-19	0	65260	0	3393093	1037
2020-04-20	0	66421	0	3429462	1016
2020-04-21	0	67536	0	3460443	981
2020-04-22	0	68571	0	3480648	923
2020-04-23	0	69565	0	3502200	882
2020-04-24	0	70503	0	3527793	864
2020-04-25	0	71312	0	3546651	833
2020-04-26	0	72091	0	3564162	806
2020-04-27	0	72854	0	3583020	785
2020-04-28	0	73633	0	3603225	764
2020-04-29	0	74354	0	3619389	736
2020-04-30	0	75051	0	3643635	712
2020-05-01	0	75694	0	3655758	678
2020-05-02	0	76254	0	3667881	639
2020-05-03	0	76798	0	3682698	626
2020-05-04	0	77390	0	3698862	615
2020-05-05	0	77915	0	3702903	574
2020-05-06	0	78455	0	3712332	548
2020-05-07	0	78969	0	3725802	527
2020-05-08	0	79482	0	3735231	495
2020-05-09	0	79947	0	3741966	473
2020-05-10	0	80394	0	3747354	455
2020-05-11	0	80870	0	3758130	449
2020-05-12	0	81317	0	3760824	407
2020-05-13	0	81738	0	3766212	391
2020-05-14	0	82126	0	3778335	365
2020-05-15	0	82493	0	3782376	348
2020-05-16	0	82817	0	3793152	333
2020-05-17	0	83155	0	3798540	327
2020-05-18	0	83525	0	3803928	322
2020-05-19	0	83871	0	3805275	288
2020-05-20	0	84203	0	3807969	278
2020-05-21	0	84501	0	3810663	257
2020-05-22	0	84829	0	3816051	246
2020-05-23	0	85121	0	3821439	231
2020-05-24	0	85405	0	3830868	230
2020-05-25	0	85724	0	3832215	220
2020-05-26	0	86037	0	3837603	197
2020-05-27	0	86320	0	3842991	183
2020-05-28	0	86582	0	3844338	175
2020-05-29	0	86846	0	3848379	165
2020-05-30	0	87093	0	3852420	156
2020-05-31	0	87335	0	3856461	158
2020-06-01	0	87581	0	3863196	156
2020-06-02	0	87849	0	3864543	151
2020-06-03	0	88108	0	3871278	137
2020-06-04	0	88352	0	3879360	135
2020-06-05	0	88579	0	3883401	132
2020-06-06	0	88773	0	3886095	130
2020-06-07	0	88967	0	3890136	129
2020-06-08	0	89161	0	3890136	127
2020-06-09	0	89335	0	3892830	120
2020-06-10	0	89493	0	3895524	117
2020-06-11	0	89655	0	3896871	113
2020-06-12	0	89808	0	3900912	110
2020-06-13	0	89942	0	3903606	108
2020-06-14	0	90075	0	3903606	107
2020-06-15	0	90211	0	3904953	106
2020-06-16	0	90347	0	3907647	97
2020-06-17	0	90475	0	3907647	88
2020-06-18	0	90604	0	3908994	81
2020-06-19	0	90729	0	3908994	74
2020-06-20	0	90835	0	3911688	74
2020-06-21	0	90942	0	3911688	70
2020-06-22	0	91052	0	3915729	72
2020-06-23	0	91163	0	3917076	65
2020-06-24	0	91273	0	3918423	61
2020-06-25	0	91390	0	3918423	59
2020-06-26	0	91503	0	3918423	53
2020-06-27	0	91595	0	3918423	49
2020-06-28	0	91691	0	3918423	45
2020-06-29	0	91796	0	3918423	45
2020-06-30	0	91887	0	3921117	45
2020-07-01	0	91976	0	3921117	41
2020-07-02	0	92058	0	3925158	43
2020-07-03	0	92140	0	3925158	40
2020-07-04	0	92212	0	3926505	41
2020-07-05	0	92287	0	3926505	39
2020-07-06	0	92366	0	3926505	38
2020-07-07	0	92447	0	3927852	36
2020-07-08	0	92526	0	3930546	33
2020-07-09	0	92605	0	3931893	33
2020-07-10	0	92694	0	3933240	34
2020-07-11	0	92775	0	3933240	32
2020-07-12	0	92856	0	3934587	33
2020-07-13	0	92944	0	3934587	32
2020-07-14	0	93033	0	3934587	29
