"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	6526358	577562	4644	13	13
2020-02-28	6526358	577627	4644	14	14
2020-02-29	6526358	577692	4644	15	15
2020-03-01	6526358	577764	4644	17	17
2020-03-02	6526358	577847	4644	17	16
2020-03-03	6526358	577937	4644	19	18
2020-03-04	6526358	578039	4644	22	21
2020-03-05	6526358	578150	4644	24	21
2020-03-06	6526358	578279	4644	28	24
2020-03-07	6526358	578416	4644	31	26
2020-03-08	6526358	578572	4644	36	32
2020-03-09	6526358	578753	4644	43	37
2020-03-10	6526358	578957	4644	53	45
2020-03-11	6526358	579197	4644	62	52
2020-03-12	6526358	579480	4644	85	72
2020-03-13	6526358	579832	4644	98	82
2020-03-14	6526358	580223	4644	119	101
2020-03-15	6526358	580662	4644	147	124
2020-03-16	6526358	581234	4644	180	154
2020-03-17	6526358	581890	4644	215	183
2020-03-18	6526358	582674	4644	271	234
2020-03-19	6526358	583667	4644	338	294
2020-03-20	6526358	584832	4644	422	366
2020-03-21	6526358	586077	4644	505	436
2020-03-22	6526358	587423	4644	580	487
2020-03-23	6526358	589097	4644	679	575
2020-03-24	6526358	591023	4644	790	654
2020-03-25	6526358	593166	4644	911	754
2020-03-26	6526358	595507	4644	1024	840
2020-03-27	6526358	598107	4644	1141	923
2020-03-28	6526358	600646	4644	1245	987
2020-03-29	6526358	603138	4644	1337	1038
2020-03-30	6526358	605776	4644	1466	1122
2020-03-31	6526358	608342	4644	1577	1187
2020-04-01	6526358	610810	4644	1654	1205
2020-04-02	6526358	613256	4644	1752	1250
2020-04-03	6526358	615708	4644	1829	1277
2020-04-04	6526358	617949	4644	1895	1282
2020-04-05	6526358	620140	4644	1971	1306
2020-04-06	6526358	622451	4644	2032	1313
2020-04-07	6526358	624622	4644	2092	1315
2020-04-08	6526358	626653	4644	2150	1286
2020-04-09	6526358	628509	4644	2202	1283
2020-04-10	6526358	630276	4644	2252	1290
2020-04-11	6526358	631856	4644	2282	1260
2020-04-12	6526358	633380	4644	2316	1241
2020-04-13	6526358	634895	4644	2361	1225
2020-04-14	6526358	636424	4644	2399	1203
2020-04-15	6526358	637867	4644	2424	1178
2020-04-16	6526358	639198	4644	2454	1144
2020-04-17	6526358	640487	4644	2480	1114
2020-04-18	6526358	641636	4644	2499	1069
2020-04-19	6526358	642757	4644	2519	1038
2020-04-20	6526358	643917	4644	2546	1017
2020-04-21	6526358	645031	4644	2569	982
2020-04-22	6526358	646065	4644	2584	924
2020-04-23	6526358	647058	4644	2600	882
2020-04-24	6526358	647995	4644	2619	864
2020-04-25	6526358	648803	4644	2633	833
2020-04-26	6526358	649581	4644	2646	806
2020-04-27	6526358	650344	4644	2660	785
2020-04-28	6526358	651123	4644	2675	764
2020-04-29	6526358	651844	4644	2687	736
2020-04-30	6526358	652541	4644	2705	712
2020-05-01	6526358	653184	4644	2714	678
2020-05-02	6526358	653744	4644	2723	639
2020-05-03	6526358	654288	4644	2734	626
2020-05-04	6526358	654880	4644	2746	615
2020-05-05	6526358	655405	4644	2749	574
2020-05-06	6526358	655945	4644	2756	548
2020-05-07	6526358	656459	4644	2766	527
2020-05-08	6526358	656972	4644	2773	495
2020-05-09	6526358	657437	4644	2778	473
2020-05-10	6526358	657884	4644	2782	455
2020-05-11	6526358	658360	4644	2790	449
2020-05-12	6526358	658807	4644	2792	407
2020-05-13	6526358	659228	4644	2796	391
2020-05-14	6526358	659616	4644	2805	365
2020-05-15	6526358	659983	4644	2808	348
2020-05-16	6526358	660307	4644	2816	333
2020-05-17	6526358	660645	4644	2820	327
2020-05-18	6526358	661015	4644	2824	322
2020-05-19	6526358	661361	4644	2825	288
2020-05-20	6526358	661693	4644	2827	278
2020-05-21	6526358	661991	4644	2829	257
2020-05-22	6526358	662319	4644	2833	246
2020-05-23	6526358	662611	4644	2837	231
2020-05-24	6526358	662895	4644	2844	230
2020-05-25	6526358	663214	4644	2845	220
2020-05-26	6526358	663527	4644	2849	197
2020-05-27	6526358	663810	4644	2853	183
2020-05-28	6526358	664072	4644	2854	175
2020-05-29	6526358	664336	4644	2857	165
2020-05-30	6526358	664583	4644	2860	156
2020-05-31	6526358	664825	4644	2863	158
2020-06-01	6526358	665071	4644	2868	156
2020-06-02	6526358	665339	4644	2869	151
2020-06-03	6526358	665598	4644	2874	137
2020-06-04	6526358	665842	4644	2880	135
2020-06-05	6526358	666069	4644	2883	132
2020-06-06	6526358	666263	4644	2885	130
2020-06-07	6526358	666457	4644	2888	129
2020-06-08	6526358	666651	4644	2888	127
2020-06-09	6526358	666825	4644	2890	120
2020-06-10	6526358	666983	4644	2892	117
2020-06-11	6526358	667145	4644	2893	113
2020-06-12	6526358	667298	4644	2896	110
2020-06-13	6526358	667432	4644	2898	108
2020-06-14	6526358	667565	4644	2898	107
2020-06-15	6526358	667701	4644	2899	106
2020-06-16	6526358	667837	4644	2901	97
2020-06-17	6526358	667965	4644	2901	88
2020-06-18	6526358	668094	4644	2902	81
2020-06-19	6526358	668219	4644	2902	74
2020-06-20	6526358	668325	4644	2904	74
2020-06-21	6526358	668432	4644	2904	70
2020-06-22	6526358	668542	4644	2907	72
2020-06-23	6526358	668653	4644	2908	65
2020-06-24	6526358	668763	4644	2909	61
2020-06-25	6526358	668880	4644	2909	59
2020-06-26	6526358	668993	4644	2909	53
2020-06-27	6526358	669085	4644	2909	49
2020-06-28	6526358	669181	4644	2909	45
2020-06-29	6526358	669286	4644	2909	45
2020-06-30	6526358	669377	4644	2911	45
2020-07-01	6526358	669466	4644	2911	41
2020-07-02	6526358	669548	4644	2914	43
2020-07-03	6526358	669630	4644	2914	40
2020-07-04	6526358	669702	4644	2915	41
2020-07-05	6526358	669777	4644	2915	39
2020-07-06	6526358	669856	4644	2915	38
2020-07-07	6526358	669937	4644	2916	36
2020-07-08	6526358	670016	4644	2918	33
2020-07-09	6526358	670095	4644	2919	33
2020-07-10	6526358	670184	4644	2920	34
2020-07-11	6526358	670265	4644	2920	32
2020-07-12	6526358	670346	4644	2921	33
2020-07-13	6526358	670434	4644	2921	32
2020-07-14	6526358	670523	4644	2921	29
2020-07-15	6526358	670605	4644	2922	29
2020-07-16	6526358	670683	4644	2923	28
2020-07-17	6526358	670759	4644	2923	28
2020-07-18	6526358	670842	4644	2923	27
2020-07-19	6526358	670928	4644	2924	28
2020-07-20	6526358	671017	4644	2925	28
2020-07-21	6526358	671105	4644	2927	28
2020-07-22	6526358	671182	4644	2928	28
2020-07-23	6526358	671266	4644	2929	26
2020-07-24	6526358	671348	4644	2930	25
2020-07-25	6526358	671433	4644	2931	22
2020-07-26	6526358	671520	4644	2934	23
2020-07-27	6526358	671615	4644	2937	26
2020-07-28	6526358	671713	4644	2937	26
2020-07-29	6526358	671802	4644	2937	25
2020-07-30	6526358	671895	4644	2940	27
2020-07-31	6526358	671992	4644	2944	30
2020-08-01	6526358	672090	4644	2946	31
2020-08-02	6526358	672198	4644	2948	32
2020-08-03	6526358	672316	4644	2951	35
2020-08-04	6526358	672427	4644	2954	37
2020-08-05	6526358	672533	4644	2956	36
2020-08-06	6526358	672638	4644	2959	39
2020-08-07	6526358	672750	4644	2960	39
2020-08-08	6526358	672869	4644	2961	40
2020-08-09	6526358	673001	4644	2967	45
2020-08-10	6526358	673143	4644	2971	43
2020-08-11	6526358	673304	4644	2974	45
2020-08-12	6526358	673467	4644	2978	45
2020-08-13	6526358	673630	4644	2982	43
2020-08-14	6526358	673788	4644	2988	48
2020-08-15	6526358	673942	4644	2989	46
2020-08-16	6526358	674105	4644	2993	47
2020-08-17	6526358	674285	4644	3001	55
2020-08-18	6526358	674460	4644	3003	51
2020-08-19	6526358	674638	4644	3006	50
2020-08-20	6526358	674825	4644	3012	52
