"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	17641	13
2020-02-28	0	126	0	18998	14
2020-02-29	0	191	0	20355	15
2020-03-01	0	263	0	23069	17
2020-03-02	0	346	0	23069	16
2020-03-03	0	436	0	25783	18
2020-03-04	0	538	0	29854	21
2020-03-05	0	649	0	32568	21
2020-03-06	0	778	0	37996	24
2020-03-07	0	915	0	42067	26
2020-03-08	0	1071	0	48852	32
2020-03-09	0	1252	0	58351	37
2020-03-10	0	1456	0	71921	45
2020-03-11	0	1696	0	84134	52
2020-03-12	0	1979	0	115345	72
2020-03-13	0	2331	0	132986	82
2020-03-14	0	2722	0	161483	101
2020-03-15	0	3161	0	199479	123
2020-03-16	0	3733	0	244260	153
2020-03-17	0	4389	0	291755	182
2020-03-18	0	5173	0	367747	233
2020-03-19	0	6166	0	458666	293
2020-03-20	0	7331	0	572654	365
2020-03-21	0	8576	0	685285	435
2020-03-22	0	9922	0	787060	486
2020-03-23	0	11596	0	921403	575
2020-03-24	0	13522	0	1072030	654
2020-03-25	0	15665	0	1236227	754
2020-03-26	0	18006	0	1389568	840
2020-03-27	0	20606	0	1548337	923
2020-03-28	0	23145	0	1689465	987
2020-03-29	0	25637	0	1814309	1038
2020-03-30	0	28275	0	1989362	1122
2020-03-31	0	30841	0	2139989	1187
2020-04-01	0	33309	0	2244478	1205
2020-04-02	0	35755	0	2377464	1250
2020-04-03	0	38207	0	2481953	1277
2020-04-04	0	40448	0	2571515	1282
2020-04-05	0	42639	0	2674647	1306
2020-04-06	0	44950	0	2757424	1313
2020-04-07	0	47121	0	2838844	1315
2020-04-08	0	49152	0	2917550	1286
2020-04-09	0	51008	0	2988114	1283
2020-04-10	0	52775	0	3055964	1290
2020-04-11	0	54355	0	3096674	1260
2020-04-12	0	55879	0	3142812	1241
2020-04-13	0	57394	0	3203877	1225
2020-04-14	0	58923	0	3255443	1203
2020-04-15	0	60366	0	3289368	1178
2020-04-16	0	61698	0	3330078	1144
2020-04-17	0	62988	0	3365360	1113
2020-04-18	0	64138	0	3391143	1068
2020-04-19	0	65260	0	3418283	1037
2020-04-20	0	66421	0	3454922	1016
2020-04-21	0	67536	0	3486133	981
2020-04-22	0	68571	0	3506488	923
2020-04-23	0	69565	0	3528200	882
2020-04-24	0	70503	0	3553983	864
2020-04-25	0	71312	0	3572981	833
2020-04-26	0	72091	0	3590622	806
2020-04-27	0	72854	0	3609620	785
2020-04-28	0	73633	0	3629975	764
2020-04-29	0	74354	0	3646259	736
2020-04-30	0	75051	0	3670685	712
2020-05-01	0	75694	0	3682898	678
2020-05-02	0	76254	0	3695111	639
2020-05-03	0	76798	0	3710038	626
2020-05-04	0	77390	0	3726322	615
2020-05-05	0	77915	0	3730393	574
2020-05-06	0	78455	0	3739892	548
2020-05-07	0	78969	0	3753462	527
2020-05-08	0	79482	0	3762961	495
2020-05-09	0	79947	0	3769746	473
2020-05-10	0	80394	0	3775174	455
2020-05-11	0	80870	0	3786030	449
2020-05-12	0	81317	0	3788744	407
2020-05-13	0	81738	0	3794172	391
2020-05-14	0	82126	0	3806385	365
2020-05-15	0	82493	0	3810456	348
2020-05-16	0	82817	0	3821312	333
2020-05-17	0	83155	0	3826740	327
2020-05-18	0	83525	0	3832168	322
2020-05-19	0	83871	0	3833525	288
2020-05-20	0	84203	0	3836239	278
2020-05-21	0	84501	0	3838953	257
2020-05-22	0	84829	0	3844381	246
2020-05-23	0	85121	0	3849809	231
2020-05-24	0	85405	0	3859308	230
2020-05-25	0	85724	0	3860665	220
2020-05-26	0	86037	0	3866093	197
2020-05-27	0	86320	0	3871521	183
2020-05-28	0	86582	0	3872878	175
2020-05-29	0	86846	0	3876949	165
2020-05-30	0	87093	0	3881020	156
2020-05-31	0	87335	0	3885091	158
2020-06-01	0	87581	0	3891876	156
2020-06-02	0	87849	0	3893233	151
2020-06-03	0	88108	0	3900018	137
2020-06-04	0	88352	0	3908160	135
2020-06-05	0	88579	0	3912231	132
2020-06-06	0	88773	0	3914945	130
2020-06-07	0	88967	0	3919016	129
2020-06-08	0	89161	0	3919016	127
2020-06-09	0	89335	0	3921730	120
2020-06-10	0	89493	0	3924444	117
2020-06-11	0	89655	0	3925801	113
2020-06-12	0	89808	0	3929872	110
2020-06-13	0	89942	0	3932586	108
2020-06-14	0	90075	0	3932586	107
2020-06-15	0	90211	0	3933943	106
2020-06-16	0	90347	0	3936657	97
2020-06-17	0	90475	0	3936657	88
2020-06-18	0	90604	0	3938014	81
2020-06-19	0	90729	0	3938014	74
2020-06-20	0	90835	0	3940728	74
2020-06-21	0	90942	0	3940728	70
2020-06-22	0	91052	0	3944799	72
2020-06-23	0	91163	0	3946156	65
2020-06-24	0	91273	0	3947513	61
2020-06-25	0	91390	0	3947513	59
2020-06-26	0	91503	0	3947513	53
2020-06-27	0	91595	0	3947513	49
2020-06-28	0	91691	0	3947513	45
2020-06-29	0	91796	0	3947513	45
2020-06-30	0	91887	0	3950227	45
2020-07-01	0	91976	0	3950227	41
2020-07-02	0	92058	0	3954298	43
2020-07-03	0	92140	0	3954298	40
2020-07-04	0	92212	0	3955655	41
2020-07-05	0	92287	0	3955655	39
2020-07-06	0	92366	0	3955655	38
2020-07-07	0	92447	0	3957012	36
2020-07-08	0	92526	0	3959726	33
2020-07-09	0	92605	0	3961083	33
2020-07-10	0	92694	0	3962440	34
2020-07-11	0	92775	0	3962440	32
2020-07-12	0	92856	0	3963797	33
2020-07-13	0	92944	0	3963797	32
2020-07-14	0	93033	0	3963797	29
2020-07-15	0	93115	0	3965154	29
2020-07-16	0	93193	0	3966511	28
2020-07-17	0	93269	0	3966511	28
2020-07-18	0	93352	0	3966511	27
2020-07-19	0	93438	0	3967868	28
2020-07-20	0	93527	0	3969225	28
2020-07-21	0	93615	0	3971939	28
2020-07-22	0	93692	0	3973296	28
2020-07-23	0	93776	0	3974653	26
2020-07-24	0	93858	0	3976010	25
2020-07-25	0	93943	0	3977367	22
2020-07-26	0	94030	0	3981438	23
2020-07-27	0	94125	0	3985509	26
2020-07-28	0	94223	0	3985509	26
2020-07-29	0	94312	0	3985509	25
2020-07-30	0	94405	0	3989580	27
2020-07-31	0	94502	0	3995008	30
2020-08-01	0	94600	0	3997722	31
2020-08-02	0	94708	0	4000436	32
2020-08-03	0	94826	0	4004507	35
2020-08-04	0	94937	0	4008578	37
2020-08-05	0	95043	0	4011292	36
2020-08-06	0	95148	0	4015363	39
2020-08-07	0	95260	0	4016720	39
2020-08-08	0	95379	0	4018077	40
2020-08-09	0	95511	0	4026219	45
2020-08-10	0	95653	0	4031647	43
2020-08-11	0	95814	0	4035718	45
2020-08-12	0	95977	0	4041146	45
2020-08-13	0	96140	0	4046574	43
2020-08-14	0	96298	0	4054716	48
2020-08-15	0	96452	0	4056073	46
2020-08-16	0	96615	0	4061501	47
2020-08-17	0	96795	0	4072357	55
2020-08-18	0	96970	0	4075071	51
2020-08-19	0	97148	0	4079142	50
2020-08-20	0	97335	0	4087284	52
2020-08-21	0	97516	0	4094069	55
2020-08-22	0	97677	0	4094069	51
2020-08-23	0	97839	0	4100854	53
2020-08-24	0	98005	0	4103568	53
2020-08-25	0	98178	0	4107639	48
2020-08-26	0	98341	0	4107639	46
2020-08-27	0	98489	0	4110353	45
2020-08-28	0	98639	0	4113067	43
2020-08-29	0	98772	0	4117138	44
2020-08-30	0	98907	0	4121209	49
2020-08-31	0	99053	0	4122566	48
2020-09-01	0	99198	0	4125280	44
2020-09-02	0	99349	0	4127994	43
2020-09-03	0	99495	0	4132065	44
2020-09-04	0	99648	0	4137493	48
2020-09-05	0	99801	0	4138850	44
2020-09-06	0	99972	0	4144278	48
2020-09-07	0	100164	0	4148349	49
2020-09-08	0	100370	0	4152420	48
2020-09-09	0	100596	0	4157848	49
2020-09-10	0	100816	0	4164633	52
2020-09-11	0	101056	0	4172775	57
2020-09-12	0	101293	0	4180917	61
2020-09-13	0	101543	0	4186345	63
2020-09-14	0	101834	0	4201272	74
2020-09-15	0	102133	0	4206700	74
2020-09-16	0	102459	0	4208057	69
2020-09-17	0	102803	0	4214842	70
2020-09-18	0	103185	0	4224341	73
2020-09-19	0	103585	0	4243339	86
2020-09-20	0	104005	0	4260980	97
2020-09-21	0	104477	0	4278621	106
2020-09-22	0	104979	0	4293548	113
2020-09-23	0	105524	0	4311189	122
2020-09-24	0	106118	0	4326116	129
2020-09-25	0	106740	0	4350542	143
2020-09-26	0	107357	0	4368183	148
2020-09-27	0	108007	0	4392609	159
2020-09-28	0	108712	0	4412964	166
2020-09-29	0	109454	0	4444175	176
2020-09-30	0	110213	0	4464530	177
2020-10-01	0	111000	0	4482171	181
2020-10-02	0	111809	0	4501169	181
2020-10-03	0	112640	0	4526952	191
2020-10-04	0	113511	0	4555449	202
2020-10-05	0	114487	0	4593445	217
2020-10-06	0	115508	0	4639583	239
2020-10-07	0	116552	0	4680293	252
2020-10-08	0	117624	0	4710147	258
2020-10-09	0	118772	0	4748143	274
2020-10-10	0	119902	0	4784782	273
2020-10-11	0	121090	0	4810565	279
2020-10-12	0	122425	0	4866202	302
2020-10-13	0	123857	0	4915054	321
2020-10-14	0	125283	0	4962549	341
2020-10-15	0	126736	0	5014115	359
2020-10-16	0	128238	0	5088750	396
2020-10-17	0	129731	0	5129460	391
2020-10-18	0	131259	0	5185097	414
2020-10-19	0	132939	0	5266517	452
2020-10-20	0	134677	0	5334367	478
2020-10-21	0	136449	0	5399503	493
2020-10-22	0	138293	0	5457854	506
2020-10-23	0	140218	0	5529775	520
2020-10-24	0	142075	0	5579984	524
2020-10-25	0	144004	0	5643763	540
2020-10-26	0	146093	0	5725183	567
2020-10-27	0	148191	0	5791676	578
2020-10-28	0	150266	0	5860883	596
2020-10-29	0	152312	0	5923305	607
2020-10-30	0	154378	0	5980299	614
2020-10-31	0	156365	0	6045435	623
2020-11-01	0	158374	0	6103786	632
2020-11-02	0	160592	0	6185206	658
2020-11-03	0	162757	0	6228630	653
2020-11-04	0	164855	0	6282910	658
2020-11-05	0	166882	0	6330405	650
2020-11-06	0	168833	0	6377900	647
2020-11-07	0	170634	0	6430823	639
2020-11-08	0	172415	0	6490531	644
2020-11-09	0	174341	0	6546168	645
2020-11-10	0	176204	0	6596377	648
2020-11-11	0	178021	0	6645229	643
2020-11-12	0	179786	0	6700866	648
2020-11-13	0	181532	0	6742933	650
2020-11-14	0	183144	0	6772787	617
2020-11-15	0	184751	0	6818925	621
2020-11-16	0	186505	0	6867777	617
2020-11-17	0	188230	0	6907130	604
2020-11-18	0	189897	0	6949197	588
