"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	16003	13
2020-02-28	0	126	0	17234	14
2020-02-29	0	191	0	18465	15
2020-03-01	0	263	0	20927	17
2020-03-02	0	346	0	20927	16
2020-03-03	0	436	0	23389	18
2020-03-04	0	538	0	27082	21
2020-03-05	0	649	0	29544	21
2020-03-06	0	778	0	34468	24
2020-03-07	0	915	0	38161	26
2020-03-08	0	1071	0	44316	32
2020-03-09	0	1252	0	52933	37
2020-03-10	0	1456	0	65243	45
2020-03-11	0	1696	0	76322	52
2020-03-12	0	1979	0	104635	72
2020-03-13	0	2331	0	120638	82
2020-03-14	0	2722	0	146489	101
2020-03-15	0	3161	0	180957	123
2020-03-16	0	3733	0	221580	153
2020-03-17	0	4389	0	264665	182
2020-03-18	0	5173	0	333601	233
2020-03-19	0	6166	0	416078	293
2020-03-20	0	7331	0	519482	365
2020-03-21	0	8576	0	621655	435
2020-03-22	0	9922	0	713980	486
2020-03-23	0	11596	0	835849	575
2020-03-24	0	13522	0	972490	654
2020-03-25	0	15665	0	1121441	754
2020-03-26	0	18006	0	1260544	840
2020-03-27	0	20606	0	1404571	923
2020-03-28	0	23145	0	1532595	987
2020-03-29	0	25637	0	1645847	1038
2020-03-30	0	28275	0	1804646	1122
2020-03-31	0	30841	0	1941287	1187
2020-04-01	0	33309	0	2036074	1205
2020-04-02	0	35755	0	2156712	1250
2020-04-03	0	38207	0	2251499	1277
2020-04-04	0	40448	0	2332745	1282
2020-04-05	0	42639	0	2426301	1306
2020-04-06	0	44950	0	2501392	1313
2020-04-07	0	47121	0	2575252	1315
2020-04-08	0	49152	0	2646650	1286
2020-04-09	0	51008	0	2710662	1283
2020-04-10	0	52775	0	2772212	1290
2020-04-11	0	54355	0	2809142	1260
2020-04-12	0	55879	0	2850996	1241
2020-04-13	0	57394	0	2906391	1225
2020-04-14	0	58923	0	2953169	1203
2020-04-15	0	60366	0	2983944	1178
2020-04-16	0	61698	0	3020874	1144
2020-04-17	0	62988	0	3052880	1113
2020-04-18	0	64138	0	3076269	1068
2020-04-19	0	65260	0	3100889	1037
2020-04-20	0	66421	0	3134126	1016
2020-04-21	0	67536	0	3162439	981
2020-04-22	0	68571	0	3180904	923
2020-04-23	0	69565	0	3200600	882
2020-04-24	0	70503	0	3223989	864
