"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	1079	13
2020-02-28	0	126	0	1162	14
2020-02-29	0	191	0	1245	15
2020-03-01	0	263	0	1411	17
2020-03-02	0	346	0	1411	16
2020-03-03	0	436	0	1577	18
2020-03-04	0	538	0	1826	21
2020-03-05	0	649	0	1992	21
2020-03-06	0	778	0	2324	24
2020-03-07	0	915	0	2573	26
2020-03-08	0	1071	0	2988	32
2020-03-09	0	1252	0	3569	37
2020-03-10	0	1456	0	4399	45
2020-03-11	0	1696	0	5146	52
2020-03-12	0	1979	0	7055	72
2020-03-13	0	2331	0	8134	82
2020-03-14	0	2722	0	9877	101
2020-03-15	0	3161	0	12201	123
2020-03-16	0	3733	0	14940	153
2020-03-17	0	4389	0	17845	182
2020-03-18	0	5173	0	22493	233
2020-03-19	0	6166	0	28054	293
2020-03-20	0	7331	0	35026	365
2020-03-21	0	8576	0	41915	435
2020-03-22	0	9922	0	48140	486
2020-03-23	0	11596	0	56357	575
2020-03-24	0	13522	0	65570	654
2020-03-25	0	15665	0	75613	754
2020-03-26	0	18006	0	84992	840
2020-03-27	0	20606	0	94703	923
2020-03-28	0	23145	0	103335	987
2020-03-29	0	25637	0	110971	1038
2020-03-30	0	28275	0	121678	1122
2020-03-31	0	30841	0	130891	1187
2020-04-01	0	33309	0	137282	1205
2020-04-02	0	35755	0	145416	1250
2020-04-03	0	38207	0	151807	1277
2020-04-04	0	40448	0	157285	1282
2020-04-05	0	42639	0	163593	1306
2020-04-06	0	44950	0	168656	1313
2020-04-07	0	47121	0	173636	1315
2020-04-08	0	49152	0	178450	1286
2020-04-09	0	51008	0	182766	1283
2020-04-10	0	52775	0	186916	1290
2020-04-11	0	54355	0	189406	1260
2020-04-12	0	55879	0	192228	1241
2020-04-13	0	57394	0	195963	1225
2020-04-14	0	58923	0	199117	1203
2020-04-15	0	60366	0	201192	1178
2020-04-16	0	61698	0	203682	1144
2020-04-17	0	62988	0	205840	1113
2020-04-18	0	64138	0	207417	1068
2020-04-19	0	65260	0	209077	1037
2020-04-20	0	66421	0	211318	1016
2020-04-21	0	67536	0	213227	981
2020-04-22	0	68571	0	214472	923
2020-04-23	0	69565	0	215800	882
2020-04-24	0	70503	0	217377	864
2020-04-25	0	71312	0	218539	833
2020-04-26	0	72091	0	219618	806
2020-04-27	0	72854	0	220780	785
2020-04-28	0	73633	0	222025	764
2020-04-29	0	74354	0	223021	736
2020-04-30	0	75051	0	224515	712
2020-05-01	0	75694	0	225262	678
2020-05-02	0	76254	0	226009	639
2020-05-03	0	76798	0	226922	626
2020-05-04	0	77390	0	227918	615
2020-05-05	0	77915	0	228167	574
2020-05-06	0	78455	0	228748	548
2020-05-07	0	78969	0	229578	527
2020-05-08	0	79482	0	230159	495
2020-05-09	0	79947	0	230574	473
2020-05-10	0	80394	0	230906	455
2020-05-11	0	80870	0	231570	449
2020-05-12	0	81317	0	231736	407
2020-05-13	0	81738	0	232068	391
2020-05-14	0	82126	0	232815	365
2020-05-15	0	82493	0	233064	348
2020-05-16	0	82817	0	233728	333
2020-05-17	0	83155	0	234060	327
2020-05-18	0	83525	0	234392	322
2020-05-19	0	83871	0	234475	288
2020-05-20	0	84203	0	234641	278
2020-05-21	0	84501	0	234807	257
2020-05-22	0	84829	0	235139	246
2020-05-23	0	85121	0	235471	231
2020-05-24	0	85405	0	236052	230
2020-05-25	0	85724	0	236135	220
2020-05-26	0	86037	0	236467	197
2020-05-27	0	86320	0	236799	183
2020-05-28	0	86582	0	236882	175
2020-05-29	0	86846	0	237131	165
2020-05-30	0	87093	0	237380	156
2020-05-31	0	87335	0	237629	158
2020-06-01	0	87581	0	238044	156
2020-06-02	0	87849	0	238127	151
2020-06-03	0	88108	0	238542	137
2020-06-04	0	88352	0	239040	135
2020-06-05	0	88579	0	239289	132
2020-06-06	0	88773	0	239455	130
2020-06-07	0	88967	0	239704	129
2020-06-08	0	89161	0	239704	127
2020-06-09	0	89335	0	239870	120
2020-06-10	0	89493	0	240036	117
2020-06-11	0	89655	0	240119	113
2020-06-12	0	89808	0	240368	110
2020-06-13	0	89942	0	240534	108
2020-06-14	0	90075	0	240534	107
2020-06-15	0	90211	0	240617	106
2020-06-16	0	90347	0	240783	97
2020-06-17	0	90475	0	240783	88
2020-06-18	0	90604	0	240866	81
2020-06-19	0	90729	0	240866	74
2020-06-20	0	90835	0	241032	74
2020-06-21	0	90942	0	241032	70
2020-06-22	0	91052	0	241281	72
2020-06-23	0	91163	0	241364	65
2020-06-24	0	91273	0	241447	61
2020-06-25	0	91390	0	241447	59
2020-06-26	0	91503	0	241447	53
2020-06-27	0	91595	0	241447	49
2020-06-28	0	91691	0	241447	45
2020-06-29	0	91796	0	241447	45
2020-06-30	0	91887	0	241613	45
2020-07-01	0	91976	0	241613	41
2020-07-02	0	92058	0	241862	43
2020-07-03	0	92140	0	241862	40
2020-07-04	0	92212	0	241945	41
2020-07-05	0	92287	0	241945	39
2020-07-06	0	92366	0	241945	38
2020-07-07	0	92447	0	242028	36
2020-07-08	0	92526	0	242194	33
2020-07-09	0	92605	0	242277	33
2020-07-10	0	92694	0	242360	34
2020-07-11	0	92775	0	242360	32
2020-07-12	0	92856	0	242443	33
2020-07-13	0	92944	0	242443	32
2020-07-14	0	93033	0	242443	29
2020-07-15	0	93115	0	242526	29
2020-07-16	0	93193	0	242609	28
2020-07-17	0	93269	0	242609	28
2020-07-18	0	93352	0	242609	27
2020-07-19	0	93438	0	242692	28
2020-07-20	0	93527	0	242775	28
2020-07-21	0	93615	0	242941	28
2020-07-22	0	93692	0	243024	28
2020-07-23	0	93776	0	243107	26
2020-07-24	0	93858	0	243190	25
2020-07-25	0	93943	0	243273	22
2020-07-26	0	94030	0	243522	23
2020-07-27	0	94125	0	243771	26
2020-07-28	0	94223	0	243771	26
2020-07-29	0	94312	0	243771	25
2020-07-30	0	94405	0	244020	27
2020-07-31	0	94502	0	244352	30
2020-08-01	0	94600	0	244518	31
2020-08-02	0	94708	0	244684	32
2020-08-03	0	94826	0	244933	35
2020-08-04	0	94937	0	245182	37
2020-08-05	0	95043	0	245348	36
2020-08-06	0	95148	0	245597	39
2020-08-07	0	95260	0	245680	39
2020-08-08	0	95379	0	245763	40
2020-08-09	0	95511	0	246261	45
2020-08-10	0	95653	0	246593	43
2020-08-11	0	95814	0	246842	45
2020-08-12	0	95977	0	247174	45
2020-08-13	0	96140	0	247506	43
2020-08-14	0	96298	0	248004	48
2020-08-15	0	96452	0	248087	46
2020-08-16	0	96615	0	248419	47
2020-08-17	0	96795	0	249083	55
2020-08-18	0	96970	0	249249	51
2020-08-19	0	97148	0	249498	50
2020-08-20	0	97335	0	249996	52
2020-08-21	0	97516	0	250411	55
2020-08-22	0	97677	0	250411	51
2020-08-23	0	97839	0	250826	53
2020-08-24	0	98005	0	250992	53
2020-08-25	0	98178	0	251241	48
2020-08-26	0	98341	0	251241	46
2020-08-27	0	98489	0	251407	45
2020-08-28	0	98639	0	251573	43
2020-08-29	0	98772	0	251822	44
2020-08-30	0	98907	0	252071	49
2020-08-31	0	99053	0	252154	48
2020-09-01	0	99198	0	252320	44
2020-09-02	0	99349	0	252486	43
2020-09-03	0	99495	0	252735	44
2020-09-04	0	99648	0	253067	48
2020-09-05	0	99801	0	253150	44
2020-09-06	0	99972	0	253482	48
2020-09-07	0	100164	0	253731	49
2020-09-08	0	100370	0	253980	48
2020-09-09	0	100596	0	254312	49
2020-09-10	0	100816	0	254727	52
2020-09-11	0	101056	0	255225	57
2020-09-12	0	101293	0	255723	61
2020-09-13	0	101543	0	256055	63
2020-09-14	0	101834	0	256968	74
2020-09-15	0	102133	0	257300	74
2020-09-16	0	102459	0	257383	69
2020-09-17	0	102803	0	257798	70
2020-09-18	0	103185	0	258379	73
2020-09-19	0	103585	0	259541	86
2020-09-20	0	104005	0	260620	97
2020-09-21	0	104477	0	261699	106
2020-09-22	0	104979	0	262612	113
2020-09-23	0	105524	0	263691	122
2020-09-24	0	106118	0	264604	129
2020-09-25	0	106740	0	266098	143
2020-09-26	0	107357	0	267177	148
2020-09-27	0	108007	0	268671	159
2020-09-28	0	108712	0	269916	166
2020-09-29	0	109454	0	271825	176
2020-09-30	0	110213	0	273070	177
2020-10-01	0	111000	0	274149	181
2020-10-02	0	111809	0	275311	181
2020-10-03	0	112640	0	276888	191
2020-10-04	0	113511	0	278631	202
2020-10-05	0	114487	0	280955	217
2020-10-06	0	115508	0	283777	239
2020-10-07	0	116552	0	286267	252
2020-10-08	0	117624	0	288093	258
2020-10-09	0	118772	0	290417	274
2020-10-10	0	119902	0	292658	273
2020-10-11	0	121090	0	294235	279
2020-10-12	0	122425	0	297638	302
2020-10-13	0	123857	0	300626	321
2020-10-14	0	125283	0	303531	341
2020-10-15	0	126736	0	306685	359
2020-10-16	0	128238	0	311250	396
2020-10-17	0	129731	0	313740	391
2020-10-18	0	131259	0	317143	414
2020-10-19	0	132939	0	322123	452
2020-10-20	0	134677	0	326273	478
2020-10-21	0	136449	0	330257	493
2020-10-22	0	138293	0	333826	506
2020-10-23	0	140218	0	338225	520
2020-10-24	0	142075	0	341296	524
2020-10-25	0	144004	0	345197	540
2020-10-26	0	146093	0	350177	567
2020-10-27	0	148191	0	354244	578
2020-10-28	0	150266	0	358477	596
2020-10-29	0	152312	0	362295	607
2020-10-30	0	154378	0	365781	614
2020-10-31	0	156365	0	369765	623
2020-11-01	0	158374	0	373334	632
2020-11-02	0	160592	0	378314	658
2020-11-03	0	162757	0	380970	653
2020-11-04	0	164855	0	384290	658
2020-11-05	0	166882	0	387195	650
2020-11-06	0	168833	0	390100	647
2020-11-07	0	170634	0	393337	639
2020-11-08	0	172415	0	396989	644
2020-11-09	0	174341	0	400392	645
2020-11-10	0	176204	0	403463	648
2020-11-11	0	178021	0	406451	643
2020-11-12	0	179786	0	409854	648
2020-11-13	0	181532	0	412427	650
2020-11-14	0	183144	0	414253	617
2020-11-15	0	184751	0	417075	621
2020-11-16	0	186505	0	420063	617
2020-11-17	0	188230	0	422470	604
2020-11-18	0	189897	0	425043	588
2020-11-19	0	191503	0	428280	590
2020-11-20	0	193019	0	430687	581
2020-11-21	0	194438	0	432430	567
2020-11-22	0	195891	0	434505	562
2020-11-23	0	197474	0	436663	564
2020-11-24	0	199010	0	439568	557
2020-11-25	0	200475	0	442971	563
2020-11-26	0	201946	0	445461	558
2020-11-27	0	203409	0	446872	541
2020-11-28	0	204772	0	448615	535
