"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	6589094	683851	4726	13	13
2020-02-28	6589094	683916	4726	14	14
2020-02-29	6589094	683981	4726	15	15
2020-03-01	6589094	684053	4726	17	17
2020-03-02	6589094	684136	4726	17	16
2020-03-03	6589094	684226	4726	19	18
2020-03-04	6589094	684328	4726	22	21
2020-03-05	6589094	684439	4726	24	21
2020-03-06	6589094	684568	4726	28	24
2020-03-07	6589094	684705	4726	31	26
2020-03-08	6589094	684861	4726	36	32
2020-03-09	6589094	685042	4726	43	37
2020-03-10	6589094	685246	4726	53	45
2020-03-11	6589094	685486	4726	62	52
2020-03-12	6589094	685769	4726	85	72
2020-03-13	6589094	686121	4726	98	82
2020-03-14	6589094	686512	4726	119	101
2020-03-15	6589094	686951	4726	147	123
2020-03-16	6589094	687523	4726	180	153
2020-03-17	6589094	688179	4726	215	182
2020-03-18	6589094	688963	4726	271	233
2020-03-19	6589094	689956	4726	338	293
2020-03-20	6589094	691122	4726	421	364
2020-03-21	6589094	692367	4726	505	435
2020-03-22	6589094	693713	4726	580	487
2020-03-23	6589094	695387	4726	679	576
2020-03-24	6589094	697313	4726	790	655
2020-03-25	6589094	699456	4726	911	755
2020-03-26	6589094	701797	4726	1024	841
2020-03-27	6589094	704397	4726	1141	924
2020-03-28	6589094	706936	4726	1245	988
2020-03-29	6589094	709428	4726	1337	1037
2020-03-30	6589094	712066	4726	1466	1121
2020-03-31	6589094	714632	4726	1577	1186
2020-04-01	6589094	717100	4726	1654	1203
2020-04-02	6589094	719546	4726	1752	1248
2020-04-03	6589094	721998	4726	1829	1276
2020-04-04	6589094	724239	4726	1895	1281
2020-04-05	6589094	726430	4726	1971	1305
2020-04-06	6589094	728741	4726	2032	1312
2020-04-07	6589094	730912	4726	2092	1314
2020-04-08	6589094	732943	4726	2150	1285
2020-04-09	6589094	734799	4726	2202	1282
2020-04-10	6589094	736566	4726	2252	1289
2020-04-11	6589094	738146	4726	2282	1259
2020-04-12	6589094	739670	4726	2316	1240
2020-04-13	6589094	741185	4726	2361	1224
2020-04-14	6589094	742714	4726	2399	1202
2020-04-15	6589094	744157	4726	2424	1178
2020-04-16	6589094	745489	4726	2454	1144
2020-04-17	6589094	746779	4726	2480	1113
2020-04-18	6589094	747929	4726	2499	1068
2020-04-19	6589094	749051	4726	2519	1037
2020-04-20	6589094	750212	4726	2546	1016
