"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	6506088	548465	4580	13	13
2020-02-28	6506088	548530	4580	14	14
2020-02-29	6506088	548595	4580	15	15
2020-03-01	6506088	548667	4580	17	17
2020-03-02	6506088	548750	4580	17	16
2020-03-03	6506088	548840	4580	19	18
2020-03-04	6506088	548942	4580	22	21
2020-03-05	6506088	549053	4580	24	21
2020-03-06	6506088	549182	4580	28	24
2020-03-07	6506088	549319	4580	31	26
2020-03-08	6506088	549475	4580	36	32
2020-03-09	6506088	549656	4580	43	37
2020-03-10	6506088	549860	4580	53	45
2020-03-11	6506088	550100	4580	62	52
2020-03-12	6506088	550383	4580	85	72
2020-03-13	6506088	550735	4580	98	82
2020-03-14	6506088	551126	4580	119	101
2020-03-15	6506088	551565	4580	147	124
2020-03-16	6506088	552137	4580	180	154
2020-03-17	6506088	552793	4580	215	183
2020-03-18	6506088	553577	4580	271	234
2020-03-19	6506088	554570	4580	338	294
2020-03-20	6506088	555735	4580	422	366
2020-03-21	6506088	556980	4580	505	436
2020-03-22	6506088	558326	4580	580	487
2020-03-23	6506088	560000	4580	679	575
2020-03-24	6506088	561926	4580	790	654
2020-03-25	6506088	564069	4580	911	754
2020-03-26	6506088	566410	4580	1024	840
2020-03-27	6506088	569010	4580	1141	923
2020-03-28	6506088	571549	4580	1245	987
2020-03-29	6506088	574041	4580	1337	1038
2020-03-30	6506088	576679	4580	1466	1122
2020-03-31	6506088	579245	4580	1577	1187
2020-04-01	6506088	581713	4580	1654	1205
2020-04-02	6506088	584159	4580	1752	1250
2020-04-03	6506088	586611	4580	1829	1277
2020-04-04	6506088	588852	4580	1895	1282
2020-04-05	6506088	591043	4580	1971	1306
2020-04-06	6506088	593354	4580	2032	1313
2020-04-07	6506088	595525	4580	2092	1315
2020-04-08	6506088	597556	4580	2150	1286
2020-04-09	6506088	599412	4580	2202	1283
2020-04-10	6506088	601179	4580	2252	1290
2020-04-11	6506088	602759	4580	2282	1260
2020-04-12	6506088	604283	4580	2316	1241
2020-04-13	6506088	605798	4580	2361	1224
2020-04-14	6506088	607327	4580	2399	1202
2020-04-15	6506088	608770	4580	2424	1177
2020-04-16	6506088	610102	4580	2454	1143
2020-04-17	6506088	611392	4580	2480	1112
2020-04-18	6506088	612542	4580	2499	1067
2020-04-19	6506088	613664	4580	2519	1036
2020-04-20	6506088	614825	4580	2546	1015
2020-04-21	6506088	615940	4580	2569	980
2020-04-22	6506088	616975	4580	2584	922
2020-04-23	6506088	617969	4580	2600	881
2020-04-24	6506088	618907	4580	2619	865
2020-04-25	6506088	619716	4580	2633	833
2020-04-26	6506088	620495	4580	2646	806
2020-04-27	6506088	621258	4580	2660	785
2020-04-28	6506088	622037	4580	2675	764
2020-04-29	6506088	622758	4580	2687	736
2020-04-30	6506088	623455	4580	2705	712
2020-05-01	6506088	624098	4580	2714	678
2020-05-02	6506088	624658	4580	2723	639
2020-05-03	6506088	625202	4580	2734	626
2020-05-04	6506088	625794	4580	2746	615
2020-05-05	6506088	626319	4580	2749	574
2020-05-06	6506088	626859	4580	2756	548
2020-05-07	6506088	627373	4580	2766	527
2020-05-08	6506088	627886	4580	2773	495
2020-05-09	6506088	628351	4580	2778	473
2020-05-10	6506088	628798	4580	2782	455
2020-05-11	6506088	629274	4580	2790	449
2020-05-12	6506088	629721	4580	2792	407
2020-05-13	6506088	630142	4580	2796	391
2020-05-14	6506088	630530	4580	2805	365
2020-05-15	6506088	630897	4580	2808	348
2020-05-16	6506088	631221	4580	2816	333
2020-05-17	6506088	631559	4580	2820	327
2020-05-18	6506088	631929	4580	2824	322
2020-05-19	6506088	632275	4580	2825	288
2020-05-20	6506088	632607	4580	2827	278
2020-05-21	6506088	632905	4580	2829	257
2020-05-22	6506088	633233	4580	2833	246
2020-05-23	6506088	633525	4580	2837	231
2020-05-24	6506088	633809	4580	2844	230
2020-05-25	6506088	634128	4580	2845	220
2020-05-26	6506088	634441	4580	2849	197
2020-05-27	6506088	634724	4580	2853	183
2020-05-28	6506088	634986	4580	2854	175
2020-05-29	6506088	635250	4580	2857	165
2020-05-30	6506088	635497	4580	2860	156
2020-05-31	6506088	635739	4580	2863	158
2020-06-01	6506088	635985	4580	2868	156
2020-06-02	6506088	636253	4580	2869	151
2020-06-03	6506088	636512	4580	2874	137
2020-06-04	6506088	636756	4580	2880	135
2020-06-05	6506088	636983	4580	2883	132
2020-06-06	6506088	637177	4580	2885	130
2020-06-07	6506088	637371	4580	2888	129
2020-06-08	6506088	637565	4580	2888	127
2020-06-09	6506088	637739	4580	2890	120
2020-06-10	6506088	637897	4580	2892	117
2020-06-11	6506088	638059	4580	2893	113
2020-06-12	6506088	638212	4580	2896	110
2020-06-13	6506088	638346	4580	2898	108
2020-06-14	6506088	638479	4580	2898	107
2020-06-15	6506088	638615	4580	2899	106
2020-06-16	6506088	638751	4580	2901	97
2020-06-17	6506088	638879	4580	2901	88
2020-06-18	6506088	639008	4580	2902	81
2020-06-19	6506088	639133	4580	2902	74
2020-06-20	6506088	639239	4580	2904	74
2020-06-21	6506088	639346	4580	2904	70
2020-06-22	6506088	639456	4580	2907	72
2020-06-23	6506088	639567	4580	2908	65
2020-06-24	6506088	639677	4580	2909	61
2020-06-25	6506088	639794	4580	2909	59
2020-06-26	6506088	639907	4580	2909	53
2020-06-27	6506088	639999	4580	2909	49
2020-06-28	6506088	640095	4580	2909	45
2020-06-29	6506088	640200	4580	2909	45
2020-06-30	6506088	640291	4580	2911	45
2020-07-01	6506088	640380	4580	2911	41
2020-07-02	6506088	640462	4580	2914	43
2020-07-03	6506088	640544	4580	2914	40
2020-07-04	6506088	640616	4580	2915	41
2020-07-05	6506088	640691	4580	2915	39
2020-07-06	6506088	640770	4580	2915	38
2020-07-07	6506088	640851	4580	2916	36
2020-07-08	6506088	640930	4580	2918	33
2020-07-09	6506088	641009	4580	2919	33
2020-07-10	6506088	641098	4580	2920	34
2020-07-11	6506088	641179	4580	2920	32
2020-07-12	6506088	641260	4580	2921	33
2020-07-13	6506088	641348	4580	2921	32
2020-07-14	6506088	641437	4580	2921	29
2020-07-15	6506088	641519	4580	2922	29
2020-07-16	6506088	641597	4580	2923	28
2020-07-17	6506088	641673	4580	2923	28
2020-07-18	6506088	641756	4580	2923	27
2020-07-19	6506088	641842	4580	2924	28
2020-07-20	6506088	641931	4580	2925	28
2020-07-21	6506088	642019	4580	2927	28
2020-07-22	6506088	642096	4580	2928	28
2020-07-23	6506088	642180	4580	2929	26
2020-07-24	6506088	642262	4580	2930	25
2020-07-25	6506088	642347	4580	2931	22
2020-07-26	6506088	642434	4580	2934	23
2020-07-27	6506088	642529	4580	2937	26
2020-07-28	6506088	642627	4580	2937	26
2020-07-29	6506088	642716	4580	2937	25
2020-07-30	6506088	642809	4580	2940	27
2020-07-31	6506088	642906	4580	2944	30
2020-08-01	6506088	643004	4580	2946	31
2020-08-02	6506088	643112	4580	2948	32
2020-08-03	6506088	643230	4580	2951	35
2020-08-04	6506088	643341	4580	2954	37
2020-08-05	6506088	643447	4580	2956	36
2020-08-06	6506088	643552	4580	2959	39
2020-08-07	6506088	643664	4580	2960	39
2020-08-08	6506088	643783	4580	2961	40
2020-08-09	6506088	643915	4580	2967	45
2020-08-10	6506088	644057	4580	2971	43
2020-08-11	6506088	644218	4580	2974	45
2020-08-12	6506088	644381	4580	2978	45
2020-08-13	6506088	644544	4580	2982	43
2020-08-14	6506088	644702	4580	2988	48
2020-08-15	6506088	644856	4580	2989	46
2020-08-16	6506088	645019	4580	2993	47
2020-08-17	6506088	645199	4580	3001	55
2020-08-18	6506088	645374	4580	3003	51
2020-08-19	6506088	645552	4580	3006	50
2020-08-20	6506088	645739	4580	3012	52
2020-08-21	6506088	645920	4580	3017	55
2020-08-22	6506088	646081	4580	3017	51
2020-08-23	6506088	646243	4580	3022	53
2020-08-24	6506088	646409	4580	3024	53
2020-08-25	6506088	646582	4580	3027	48
2020-08-26	6506088	646745	4580	3027	46
2020-08-27	6506088	646893	4580	3029	45
2020-08-28	6506088	647043	4580	3031	43
2020-08-29	6506088	647176	4580	3034	44
2020-08-30	6506088	647311	4580	3037	49
2020-08-31	6506088	647457	4580	3038	48
2020-09-01	6506088	647602	4580	3040	44
2020-09-02	6506088	647753	4580	3042	43
2020-09-03	6506088	647899	4580	3045	44
2020-09-04	6506088	648052	4580	3049	48
2020-09-05	6506088	648205	4580	3050	44
2020-09-06	6506088	648376	4580	3054	48
2020-09-07	6506088	648568	4580	3057	49
2020-09-08	6506088	648774	4580	3060	48
2020-09-09	6506088	649000	4580	3064	49
2020-09-10	6506088	649220	4580	3069	52
2020-09-11	6506088	649460	4580	3075	57
2020-09-12	6506088	649697	4580	3081	61
2020-09-13	6506088	649947	4580	3085	63
2020-09-14	6506088	650238	4580	3096	74
2020-09-15	6506088	650537	4580	3100	74
2020-09-16	6506088	650863	4580	3101	69
2020-09-17	6506088	651207	4580	3106	70
2020-09-18	6506088	651589	4580	3113	73
2020-09-19	6506088	651989	4580	3127	86
2020-09-20	6506088	652409	4580	3140	97
2020-09-21	6506088	652881	4580	3153	106
2020-09-22	6506088	653383	4580	3164	113
2020-09-23	6506088	653928	4580	3177	122
2020-09-24	6506088	654522	4580	3188	129
2020-09-25	6506088	655144	4580	3206	143
2020-09-26	6506088	655761	4580	3219	148
2020-09-27	6506088	656411	4580	3237	159
2020-09-28	6506088	657116	4580	3252	166
2020-09-29	6506088	657858	4580	3275	176
2020-09-30	6506088	658617	4580	3290	177
2020-10-01	6506088	659404	4580	3303	181
2020-10-02	6506088	660213	4580	3317	181
2020-10-03	6506088	661044	4580	3336	191
2020-10-04	6506088	661915	4580	3357	202
2020-10-05	6506088	662891	4580	3385	217
2020-10-06	6506088	663912	4580	3419	239
2020-10-07	6506088	664956	4580	3449	252
2020-10-08	6506088	666028	4580	3471	258
2020-10-09	6506088	667176	4580	3499	274
2020-10-10	6506088	668306	4580	3526	273
2020-10-11	6506088	669494	4580	3545	279
2020-10-12	6506088	670829	4580	3586	302
2020-10-13	6506088	672261	4580	3622	321
2020-10-14	6506088	673687	4580	3657	341
2020-10-15	6506088	675140	4580	3695	359
2020-10-16	6506088	676642	4580	3750	396
2020-10-17	6506088	678135	4580	3780	390
2020-10-18	6506088	679663	4580	3821	414
2020-10-19	6506088	681343	4580	3881	452
2020-10-20	6506088	683081	4580	3931	478
2020-10-21	6506088	684853	4580	3979	493
2020-10-22	6506088	686697	4580	4022	506
2020-10-23	6506088	688622	4580	4075	520
2020-10-24	6506088	690479	4580	4112	524
2020-10-25	6506088	692408	4580	4159	540
2020-10-26	6506088	694497	4580	4219	567
2020-10-27	6506088	696595	4580	4268	578
2020-10-28	6506088	698670	4580	4319	596
2020-10-29	6506088	700716	4580	4365	607
2020-10-30	6506088	702782	4580	4407	614
2020-10-31	6506088	704769	4580	4455	623
2020-11-01	6506088	706778	4580	4498	632
2020-11-02	6506088	708996	4580	4558	658
2020-11-03	6506088	711161	4580	4590	653
2020-11-04	6506088	713259	4580	4630	658
2020-11-05	6506088	715286	4580	4665	650
2020-11-06	6506088	717237	4580	4700	647
2020-11-07	6506088	719038	4580	4739	639
2020-11-08	6506088	720819	4580	4783	644
2020-11-09	6506088	722745	4580	4824	645
