"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	18798	13
2020-02-28	0	126	0	20244	14
2020-02-29	0	191	0	21690	15
2020-03-01	0	263	0	24582	17
2020-03-02	0	346	0	24582	16
2020-03-03	0	436	0	27474	18
2020-03-04	0	538	0	31812	21
2020-03-05	0	649	0	34704	21
2020-03-06	0	778	0	40488	24
2020-03-07	0	915	0	44826	26
2020-03-08	0	1071	0	52056	32
2020-03-09	0	1252	0	62178	37
2020-03-10	0	1456	0	76638	45
2020-03-11	0	1696	0	89652	52
2020-03-12	0	1979	0	122910	72
2020-03-13	0	2331	0	141708	82
2020-03-14	0	2722	0	172074	101
2020-03-15	0	3161	0	212562	123
2020-03-16	0	3733	0	260280	153
2020-03-17	0	4389	0	310890	182
2020-03-18	0	5173	0	391866	233
2020-03-19	0	6166	0	488748	293
2020-03-20	0	7331	0	610212	365
2020-03-21	0	8576	0	730230	435
2020-03-22	0	9922	0	838680	486
2020-03-23	0	11596	0	981834	575
2020-03-24	0	13522	0	1142340	654
2020-03-25	0	15665	0	1317306	754
2020-03-26	0	18006	0	1480704	840
2020-03-27	0	20606	0	1649886	923
2020-03-28	0	23145	0	1800270	987
2020-03-29	0	25637	0	1933302	1038
2020-03-30	0	28275	0	2119836	1122
2020-03-31	0	30841	0	2280342	1187
2020-04-01	0	33309	0	2391684	1205
2020-04-02	0	35755	0	2533392	1250
2020-04-03	0	38207	0	2644734	1277
2020-04-04	0	40448	0	2740170	1282
2020-04-05	0	42639	0	2850066	1306
2020-04-06	0	44950	0	2938272	1313
2020-04-07	0	47121	0	3025032	1315
2020-04-08	0	49152	0	3108900	1286
2020-04-09	0	51008	0	3184092	1283
2020-04-10	0	52775	0	3256392	1290
2020-04-11	0	54355	0	3299772	1260
2020-04-12	0	55879	0	3348936	1241
2020-04-13	0	57394	0	3414006	1225
2020-04-14	0	58923	0	3468954	1203
2020-04-15	0	60366	0	3505104	1178
2020-04-16	0	61698	0	3548484	1144
2020-04-17	0	62988	0	3586080	1113
2020-04-18	0	64138	0	3613554	1068
2020-04-19	0	65260	0	3642474	1037
2020-04-20	0	66421	0	3681516	1016
2020-04-21	0	67536	0	3714774	981
2020-04-22	0	68571	0	3736464	923
2020-04-23	0	69565	0	3759600	882
2020-04-24	0	70503	0	3787074	864
2020-04-25	0	71312	0	3807318	833
2020-04-26	0	72091	0	3826116	806
2020-04-27	0	72854	0	3846360	785
2020-04-28	0	73633	0	3868050	764
2020-04-29	0	74354	0	3885402	736
2020-04-30	0	75051	0	3911430	712
2020-05-01	0	75694	0	3924444	678
2020-05-02	0	76254	0	3937458	639
2020-05-03	0	76798	0	3953364	626
2020-05-04	0	77390	0	3970716	615
2020-05-05	0	77915	0	3975054	574
2020-05-06	0	78455	0	3985176	548
2020-05-07	0	78969	0	3999636	527
2020-05-08	0	79482	0	4009758	495
2020-05-09	0	79947	0	4016988	473
2020-05-10	0	80394	0	4022772	455
2020-05-11	0	80870	0	4034340	449
2020-05-12	0	81317	0	4037232	407
2020-05-13	0	81738	0	4043016	391
2020-05-14	0	82126	0	4056030	365
2020-05-15	0	82493	0	4060368	348
2020-05-16	0	82817	0	4071936	333
2020-05-17	0	83155	0	4077720	327
2020-05-18	0	83525	0	4083504	322
2020-05-19	0	83871	0	4084950	288
2020-05-20	0	84203	0	4087842	278
2020-05-21	0	84501	0	4090734	257
2020-05-22	0	84829	0	4096518	246
2020-05-23	0	85121	0	4102302	231
2020-05-24	0	85405	0	4112424	230
2020-05-25	0	85724	0	4113870	220
2020-05-26	0	86037	0	4119654	197
2020-05-27	0	86320	0	4125438	183
2020-05-28	0	86582	0	4126884	175
2020-05-29	0	86846	0	4131222	165
2020-05-30	0	87093	0	4135560	156
2020-05-31	0	87335	0	4139898	158
2020-06-01	0	87581	0	4147128	156
2020-06-02	0	87849	0	4148574	151
2020-06-03	0	88108	0	4155804	137
2020-06-04	0	88352	0	4164480	135
2020-06-05	0	88579	0	4168818	132
2020-06-06	0	88773	0	4171710	130
