"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	12025	13
2020-02-28	0	126	0	12950	14
2020-02-29	0	191	0	13875	15
2020-03-01	0	263	0	15725	17
2020-03-02	0	346	0	15725	16
2020-03-03	0	436	0	17575	18
2020-03-04	0	538	0	20350	21
2020-03-05	0	649	0	22200	21
2020-03-06	0	778	0	25900	24
2020-03-07	0	915	0	28675	26
2020-03-08	0	1071	0	33300	32
2020-03-09	0	1252	0	39775	37
2020-03-10	0	1456	0	49025	45
2020-03-11	0	1696	0	57350	52
2020-03-12	0	1979	0	78625	72
2020-03-13	0	2331	0	90650	82
2020-03-14	0	2722	0	110075	101
2020-03-15	0	3161	0	135975	123
2020-03-16	0	3733	0	166500	153
2020-03-17	0	4389	0	198875	182
2020-03-18	0	5173	0	250675	233
2020-03-19	0	6166	0	312650	293
2020-03-20	0	7331	0	390350	365
2020-03-21	0	8576	0	467125	435
2020-03-22	0	9922	0	536500	486
2020-03-23	0	11596	0	628075	575
2020-03-24	0	13522	0	730750	654
2020-03-25	0	15665	0	842675	754
2020-03-26	0	18006	0	947200	840
2020-03-27	0	20606	0	1055425	923
2020-03-28	0	23145	0	1151625	987
2020-03-29	0	25637	0	1236725	1038
2020-03-30	0	28275	0	1356050	1122
2020-03-31	0	30841	0	1458725	1187
2020-04-01	0	33309	0	1529950	1205
2020-04-02	0	35755	0	1620600	1250
2020-04-03	0	38207	0	1691825	1277
2020-04-04	0	40448	0	1752875	1282
2020-04-05	0	42639	0	1823175	1306
2020-04-06	0	44950	0	1879600	1313
2020-04-07	0	47121	0	1935100	1315
2020-04-08	0	49152	0	1988750	1286
2020-04-09	0	51008	0	2036850	1283
2020-04-10	0	52775	0	2083100	1290
2020-04-11	0	54355	0	2110850	1260
2020-04-12	0	55879	0	2142300	1241
2020-04-13	0	57394	0	2183925	1225
2020-04-14	0	58923	0	2219075	1203
2020-04-15	0	60366	0	2242200	1178
2020-04-16	0	61698	0	2269950	1144
2020-04-17	0	62988	0	2294000	1113
2020-04-18	0	64138	0	2311575	1068
2020-04-19	0	65260	0	2330075	1037
2020-04-20	0	66421	0	2355050	1016
2020-04-21	0	67536	0	2376325	981
2020-04-22	0	68571	0	2390200	923
2020-04-23	0	69565	0	2405000	882
2020-04-24	0	70503	0	2422575	864
2020-04-25	0	71312	0	2435525	833
2020-04-26	0	72091	0	2447550	806
2020-04-27	0	72854	0	2460500	785
2020-04-28	0	73633	0	2474375	764
2020-04-29	0	74354	0	2485475	736
2020-04-30	0	75051	0	2502125	712
2020-05-01	0	75694	0	2510450	678
2020-05-02	0	76254	0	2518775	639
2020-05-03	0	76798	0	2528950	626
2020-05-04	0	77390	0	2540050	615
2020-05-05	0	77915	0	2542825	574
2020-05-06	0	78455	0	2549300	548
2020-05-07	0	78969	0	2558550	527
2020-05-08	0	79482	0	2565025	495
2020-05-09	0	79947	0	2569650	473
2020-05-10	0	80394	0	2573350	455
2020-05-11	0	80870	0	2580750	449
2020-05-12	0	81317	0	2582600	407
2020-05-13	0	81738	0	2586300	391
2020-05-14	0	82126	0	2594625	365
2020-05-15	0	82493	0	2597400	348
2020-05-16	0	82817	0	2604800	333
2020-05-17	0	83155	0	2608500	327
2020-05-18	0	83525	0	2612200	322
2020-05-19	0	83871	0	2613125	288
2020-05-20	0	84203	0	2614975	278
2020-05-21	0	84501	0	2616825	257
2020-05-22	0	84829	0	2620525	246
2020-05-23	0	85121	0	2624225	231
2020-05-24	0	85405	0	2630700	230
2020-05-25	0	85724	0	2631625	220
2020-05-26	0	86037	0	2635325	197
2020-05-27	0	86320	0	2639025	183
2020-05-28	0	86582	0	2639950	175
2020-05-29	0	86846	0	2642725	165
2020-05-30	0	87093	0	2645500	156
2020-05-31	0	87335	0	2648275	158
2020-06-01	0	87581	0	2652900	156
2020-06-02	0	87849	0	2653825	151
2020-06-03	0	88108	0	2658450	137
2020-06-04	0	88352	0	2664000	135
2020-06-05	0	88579	0	2666775	132
2020-06-06	0	88773	0	2668625	130
2020-06-07	0	88967	0	2671400	129
2020-06-08	0	89161	0	2671400	127
2020-06-09	0	89335	0	2673250	120
2020-06-10	0	89493	0	2675100	117
2020-06-11	0	89655	0	2676025	113
2020-06-12	0	89808	0	2678800	110
2020-06-13	0	89942	0	2680650	108
2020-06-14	0	90075	0	2680650	107
2020-06-15	0	90211	0	2681575	106
2020-06-16	0	90347	0	2683425	97
2020-06-17	0	90475	0	2683425	88
2020-06-18	0	90604	0	2684350	81
2020-06-19	0	90729	0	2684350	74
2020-06-20	0	90835	0	2686200	74
2020-06-21	0	90942	0	2686200	70
2020-06-22	0	91052	0	2688975	72
2020-06-23	0	91163	0	2689900	65
2020-06-24	0	91273	0	2690825	61
2020-06-25	0	91390	0	2690825	59
2020-06-26	0	91503	0	2690825	53
2020-06-27	0	91595	0	2690825	49
2020-06-28	0	91691	0	2690825	45
2020-06-29	0	91796	0	2690825	45
2020-06-30	0	91887	0	2692675	45
2020-07-01	0	91976	0	2692675	41
2020-07-02	0	92058	0	2695450	43
2020-07-03	0	92140	0	2695450	40
2020-07-04	0	92212	0	2696375	41
2020-07-05	0	92287	0	2696375	39
2020-07-06	0	92366	0	2696375	38
2020-07-07	0	92447	0	2697300	36
2020-07-08	0	92526	0	2699150	33
2020-07-09	0	92605	0	2700075	33
2020-07-10	0	92694	0	2701000	34
2020-07-11	0	92775	0	2701000	32
2020-07-12	0	92856	0	2701925	33
2020-07-13	0	92944	0	2701925	32
2020-07-14	0	93033	0	2701925	29
2020-07-15	0	93115	0	2702850	29
2020-07-16	0	93193	0	2703775	28
2020-07-17	0	93269	0	2703775	28
2020-07-18	0	93352	0	2703775	27
2020-07-19	0	93438	0	2704700	28
2020-07-20	0	93527	0	2705625	28
2020-07-21	0	93615	0	2707475	28
2020-07-22	0	93692	0	2708400	28
2020-07-23	0	93776	0	2709325	26
2020-07-24	0	93858	0	2710250	25
2020-07-25	0	93943	0	2711175	22
2020-07-26	0	94030	0	2713950	23
2020-07-27	0	94125	0	2716725	26
2020-07-28	0	94223	0	2716725	26
2020-07-29	0	94312	0	2716725	25
2020-07-30	0	94405	0	2719500	27
2020-07-31	0	94502	0	2723200	30
2020-08-01	0	94600	0	2725050	31
2020-08-02	0	94708	0	2726900	32
2020-08-03	0	94826	0	2729675	35
2020-08-04	0	94937	0	2732450	37
2020-08-05	0	95043	0	2734300	36
2020-08-06	0	95148	0	2737075	39
2020-08-07	0	95260	0	2738000	39
2020-08-08	0	95379	0	2738925	40
2020-08-09	0	95511	0	2744475	45
2020-08-10	0	95653	0	2748175	43
2020-08-11	0	95814	0	2750950	45
2020-08-12	0	95977	0	2754650	45
2020-08-13	0	96140	0	2758350	43
2020-08-14	0	96298	0	2763900	48
2020-08-15	0	96452	0	2764825	46
2020-08-16	0	96615	0	2768525	47
2020-08-17	0	96795	0	2775925	55
2020-08-18	0	96970	0	2777775	51
2020-08-19	0	97148	0	2780550	50
2020-08-20	0	97335	0	2786100	52
