"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	11713	13
2020-02-28	0	126	0	12614	14
2020-02-29	0	191	0	13515	15
2020-03-01	0	263	0	15317	17
2020-03-02	0	346	0	15317	16
2020-03-03	0	436	0	17119	18
2020-03-04	0	538	0	19822	21
2020-03-05	0	649	0	21624	21
2020-03-06	0	778	0	25228	24
2020-03-07	0	915	0	27931	26
2020-03-08	0	1071	0	32436	32
2020-03-09	0	1252	0	38743	37
2020-03-10	0	1456	0	47753	45
2020-03-11	0	1696	0	55862	52
2020-03-12	0	1979	0	76585	72
2020-03-13	0	2331	0	88298	82
2020-03-14	0	2722	0	107219	101
2020-03-15	0	3161	0	132447	123
2020-03-16	0	3733	0	162180	153
2020-03-17	0	4389	0	193715	182
2020-03-18	0	5173	0	244171	233
2020-03-19	0	6166	0	304538	293
2020-03-20	0	7331	0	380222	365
2020-03-21	0	8576	0	455005	435
2020-03-22	0	9922	0	522580	486
2020-03-23	0	11596	0	611779	575
2020-03-24	0	13522	0	711790	654
2020-03-25	0	15665	0	820811	754
2020-03-26	0	18006	0	922624	840
2020-03-27	0	20606	0	1028041	923
2020-03-28	0	23145	0	1121745	987
2020-03-29	0	25637	0	1204637	1038
2020-03-30	0	28275	0	1320866	1122
2020-03-31	0	30841	0	1420877	1187
2020-04-01	0	33309	0	1490254	1205
2020-04-02	0	35755	0	1578552	1250
2020-04-03	0	38207	0	1647929	1277
2020-04-04	0	40448	0	1707395	1282
2020-04-05	0	42639	0	1775871	1306
2020-04-06	0	44950	0	1830832	1313
2020-04-07	0	47121	0	1884892	1315
2020-04-08	0	49152	0	1937150	1286
2020-04-09	0	51008	0	1984002	1283
2020-04-10	0	52775	0	2029052	1290
2020-04-11	0	54355	0	2056082	1260
2020-04-12	0	55879	0	2086716	1241
2020-04-13	0	57394	0	2127261	1225
2020-04-14	0	58923	0	2161499	1203
2020-04-15	0	60366	0	2184024	1178
2020-04-16	0	61698	0	2211054	1144
2020-04-17	0	62988	0	2234480	1113
2020-04-18	0	64138	0	2251599	1068
2020-04-19	0	65260	0	2269619	1037
2020-04-20	0	66421	0	2293946	1016
2020-04-21	0	67536	0	2314669	981
2020-04-22	0	68571	0	2328184	923
2020-04-23	0	69565	0	2342600	882
2020-04-24	0	70503	0	2359719	864
2020-04-25	0	71312	0	2372333	833
2020-04-26	0	72091	0	2384046	806
2020-04-27	0	72854	0	2396660	785
2020-04-28	0	73633	0	2410175	764
2020-04-29	0	74354	0	2420987	736
2020-04-30	0	75051	0	2437205	712
2020-05-01	0	75694	0	2445314	678
2020-05-02	0	76254	0	2453423	639
2020-05-03	0	76798	0	2463334	626
2020-05-04	0	77390	0	2474146	615
2020-05-05	0	77915	0	2476849	574
2020-05-06	0	78455	0	2483156	548
2020-05-07	0	78969	0	2492166	527
2020-05-08	0	79482	0	2498473	495
2020-05-09	0	79947	0	2502978	473
2020-05-10	0	80394	0	2506582	455
2020-05-11	0	80870	0	2513790	449
2020-05-12	0	81317	0	2515592	407
2020-05-13	0	81738	0	2519196	391
2020-05-14	0	82126	0	2527305	365
2020-05-15	0	82493	0	2530008	348
2020-05-16	0	82817	0	2537216	333
2020-05-17	0	83155	0	2540820	327
2020-05-18	0	83525	0	2544424	322
2020-05-19	0	83871	0	2545325	288
2020-05-20	0	84203	0	2547127	278
2020-05-21	0	84501	0	2548929	257
2020-05-22	0	84829	0	2552533	246
2020-05-23	0	85121	0	2556137	231
2020-05-24	0	85405	0	2562444	230
2020-05-25	0	85724	0	2563345	220
2020-05-26	0	86037	0	2566949	197
2020-05-27	0	86320	0	2570553	183
2020-05-28	0	86582	0	2571454	175
2020-05-29	0	86846	0	2574157	165
2020-05-30	0	87093	0	2576860	156
2020-05-31	0	87335	0	2579563	158
2020-06-01	0	87581	0	2584068	156
2020-06-02	0	87849	0	2584969	151
2020-06-03	0	88108	0	2589474	137
2020-06-04	0	88352	0	2594880	135
2020-06-05	0	88579	0	2597583	132
2020-06-06	0	88773	0	2599385	130
2020-06-07	0	88967	0	2602088	129
2020-06-08	0	89161	0	2602088	127
2020-06-09	0	89335	0	2603890	120
