"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	9009	13
2020-02-28	0	126	0	9702	14
2020-02-29	0	191	0	10395	15
2020-03-01	0	263	0	11781	17
2020-03-02	0	346	0	11781	16
2020-03-03	0	436	0	13167	18
2020-03-04	0	538	0	15246	21
2020-03-05	0	649	0	16632	21
2020-03-06	0	778	0	19404	24
2020-03-07	0	915	0	21483	26
2020-03-08	0	1071	0	24948	32
2020-03-09	0	1252	0	29799	37
2020-03-10	0	1456	0	36729	45
2020-03-11	0	1696	0	42966	52
2020-03-12	0	1979	0	58905	72
2020-03-13	0	2331	0	67914	82
2020-03-14	0	2722	0	82467	101
2020-03-15	0	3161	0	101871	123
2020-03-16	0	3733	0	124740	153
2020-03-17	0	4389	0	148995	182
2020-03-18	0	5173	0	187803	233
2020-03-19	0	6166	0	234234	293
2020-03-20	0	7331	0	292446	365
2020-03-21	0	8576	0	349965	435
2020-03-22	0	9922	0	401940	486
2020-03-23	0	11596	0	470547	575
2020-03-24	0	13522	0	547470	654
2020-03-25	0	15665	0	631323	754
2020-03-26	0	18006	0	709632	840
2020-03-27	0	20606	0	790713	923
2020-03-28	0	23145	0	862785	987
2020-03-29	0	25637	0	926541	1038
2020-03-30	0	28275	0	1015938	1122
2020-03-31	0	30841	0	1092861	1187
2020-04-01	0	33309	0	1146222	1205
2020-04-02	0	35755	0	1214136	1250
2020-04-03	0	38207	0	1267497	1277
2020-04-04	0	40448	0	1313235	1282
2020-04-05	0	42639	0	1365903	1306
2020-04-06	0	44950	0	1408176	1313
2020-04-07	0	47121	0	1449756	1315
2020-04-08	0	49152	0	1489950	1286
2020-04-09	0	51008	0	1525986	1283
2020-04-10	0	52775	0	1560636	1290
2020-04-11	0	54355	0	1581426	1260
2020-04-12	0	55879	0	1604988	1241
2020-04-13	0	57394	0	1636173	1225
2020-04-14	0	58923	0	1662507	1203
2020-04-15	0	60366	0	1679832	1178
2020-04-16	0	61698	0	1700622	1144
2020-04-17	0	62988	0	1718640	1113
2020-04-18	0	64138	0	1731807	1068
2020-04-19	0	65260	0	1745667	1037
2020-04-20	0	66421	0	1764378	1016
2020-04-21	0	67536	0	1780317	981
2020-04-22	0	68571	0	1790712	923
2020-04-23	0	69565	0	1801800	882
2020-04-24	0	70503	0	1814967	864
2020-04-25	0	71312	0	1824669	833
2020-04-26	0	72091	0	1833678	806
2020-04-27	0	72854	0	1843380	785
2020-04-28	0	73633	0	1853775	764
2020-04-29	0	74354	0	1862091	736
2020-04-30	0	75051	0	1874565	712
2020-05-01	0	75694	0	1880802	678
2020-05-02	0	76254	0	1887039	639
2020-05-03	0	76798	0	1894662	626
2020-05-04	0	77390	0	1902978	615
2020-05-05	0	77915	0	1905057	574
2020-05-06	0	78455	0	1909908	548
2020-05-07	0	78969	0	1916838	527
2020-05-08	0	79482	0	1921689	495
2020-05-09	0	79947	0	1925154	473
2020-05-10	0	80394	0	1927926	455
2020-05-11	0	80870	0	1933470	449
2020-05-12	0	81317	0	1934856	407
2020-05-13	0	81738	0	1937628	391
2020-05-14	0	82126	0	1943865	365
2020-05-15	0	82493	0	1945944	348
2020-05-16	0	82817	0	1951488	333
2020-05-17	0	83155	0	1954260	327
2020-05-18	0	83525	0	1957032	322
2020-05-19	0	83871	0	1957725	288
2020-05-20	0	84203	0	1959111	278
2020-05-21	0	84501	0	1960497	257
2020-05-22	0	84829	0	1963269	246
2020-05-23	0	85121	0	1966041	231
2020-05-24	0	85405	0	1970892	230
2020-05-25	0	85724	0	1971585	220
2020-05-26	0	86037	0	1974357	197
2020-05-27	0	86320	0	1977129	183
2020-05-28	0	86582	0	1977822	175
2020-05-29	0	86846	0	1979901	165
2020-05-30	0	87093	0	1981980	156
2020-05-31	0	87335	0	1984059	158
2020-06-01	0	87581	0	1987524	156
2020-06-02	0	87849	0	1988217	151
2020-06-03	0	88108	0	1991682	137
2020-06-04	0	88352	0	1995840	135
2020-06-05	0	88579	0	1997919	132
2020-06-06	0	88773	0	1999305	130
2020-06-07	0	88967	0	2001384	129
2020-06-08	0	89161	0	2001384	127
2020-06-09	0	89335	0	2002770	120
2020-06-10	0	89493	0	2004156	117
2020-06-11	0	89655	0	2004849	113
2020-06-12	0	89808	0	2006928	110
2020-06-13	0	89942	0	2008314	108
2020-06-14	0	90075	0	2008314	107
