"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	16718	13
2020-02-28	0	126	0	18004	14
2020-02-29	0	191	0	19290	15
2020-03-01	0	263	0	21862	17
2020-03-02	0	346	0	21862	16
2020-03-03	0	436	0	24434	18
2020-03-04	0	538	0	28292	21
2020-03-05	0	649	0	30864	21
2020-03-06	0	778	0	36008	24
2020-03-07	0	915	0	39866	26
2020-03-08	0	1071	0	46296	32
2020-03-09	0	1252	0	55298	37
2020-03-10	0	1456	0	68158	45
2020-03-11	0	1696	0	79732	52
2020-03-12	0	1979	0	109310	72
2020-03-13	0	2331	0	126028	82
2020-03-14	0	2722	0	153034	101
2020-03-15	0	3161	0	189042	123
2020-03-16	0	3733	0	231480	153
2020-03-17	0	4389	0	276490	182
2020-03-18	0	5173	0	348506	233
2020-03-19	0	6166	0	434668	293
2020-03-20	0	7331	0	542692	365
2020-03-21	0	8576	0	649430	435
2020-03-22	0	9922	0	745880	486
2020-03-23	0	11596	0	873194	575
2020-03-24	0	13522	0	1015940	654
2020-03-25	0	15665	0	1171546	754
2020-03-26	0	18006	0	1316864	840
2020-03-27	0	20606	0	1467326	923
2020-03-28	0	23145	0	1601070	987
2020-03-29	0	25637	0	1719382	1038
2020-03-30	0	28275	0	1885276	1122
2020-03-31	0	30841	0	2028022	1187
2020-04-01	0	33309	0	2127044	1205
2020-04-02	0	35755	0	2253072	1250
2020-04-03	0	38207	0	2352094	1277
2020-04-04	0	40448	0	2436970	1282
2020-04-05	0	42639	0	2534706	1306
2020-04-06	0	44950	0	2613152	1313
2020-04-07	0	47121	0	2690312	1315
2020-04-08	0	49152	0	2764900	1286
2020-04-09	0	51008	0	2831772	1283
2020-04-10	0	52775	0	2896072	1290
2020-04-11	0	54355	0	2934652	1260
2020-04-12	0	55879	0	2978376	1241
2020-04-13	0	57394	0	3036246	1225
2020-04-14	0	58923	0	3085114	1203
2020-04-15	0	60366	0	3117264	1178
2020-04-16	0	61698	0	3155844	1144
2020-04-17	0	62988	0	3189280	1113
2020-04-18	0	64138	0	3213714	1068
2020-04-19	0	65260	0	3239434	1037
2020-04-20	0	66421	0	3274156	1016
2020-04-21	0	67536	0	3303734	981
2020-04-22	0	68571	0	3323024	923
2020-04-23	0	69565	0	3343600	882
2020-04-24	0	70503	0	3368034	864
2020-04-25	0	71312	0	3386038	833
2020-04-26	0	72091	0	3402756	806
2020-04-27	0	72854	0	3420760	785
2020-04-28	0	73633	0	3440050	764
