"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	24258	13
2020-02-28	0	126	0	26124	14
2020-02-29	0	191	0	27990	15
2020-03-01	0	263	0	31722	17
2020-03-02	0	346	0	31722	16
2020-03-03	0	436	0	35454	18
2020-03-04	0	538	0	41052	21
2020-03-05	0	649	0	44784	21
2020-03-06	0	778	0	52248	24
2020-03-07	0	915	0	57846	26
2020-03-08	0	1071	0	67176	32
2020-03-09	0	1252	0	80238	37
2020-03-10	0	1456	0	98898	45
2020-03-11	0	1696	0	115692	52
2020-03-12	0	1979	0	158610	72
2020-03-13	0	2331	0	182868	82
2020-03-14	0	2722	0	222054	101
2020-03-15	0	3161	0	274302	123
2020-03-16	0	3733	0	335880	153
2020-03-17	0	4389	0	401190	182
2020-03-18	0	5173	0	505686	233
2020-03-19	0	6166	0	630708	293
2020-03-20	0	7331	0	787452	365
2020-03-21	0	8576	0	942330	435
2020-03-22	0	9922	0	1082280	486
2020-03-23	0	11596	0	1267014	575
2020-03-24	0	13522	0	1474140	654
2020-03-25	0	15665	0	1699926	754
2020-03-26	0	18006	0	1910784	840
2020-03-27	0	20606	0	2129106	923
2020-03-28	0	23145	0	2323170	987
2020-03-29	0	25637	0	2494842	1038
2020-03-30	0	28275	0	2735556	1122
2020-03-31	0	30841	0	2942682	1187
2020-04-01	0	33309	0	3086364	1205
2020-04-02	0	35755	0	3269232	1250
2020-04-03	0	38207	0	3412914	1277
2020-04-04	0	40448	0	3536070	1282
2020-04-05	0	42639	0	3677886	1306
2020-04-06	0	44950	0	3791712	1313
2020-04-07	0	47121	0	3903672	1315
2020-04-08	0	49152	0	4011900	1286
2020-04-09	0	51008	0	4108932	1283
2020-04-10	0	52775	0	4202232	1290
2020-04-11	0	54355	0	4258212	1260
2020-04-12	0	55879	0	4321656	1241
2020-04-13	0	57394	0	4405626	1225
2020-04-14	0	58923	0	4476534	1203
2020-04-15	0	60366	0	4523184	1178
2020-04-16	0	61698	0	4579164	1144
2020-04-17	0	62988	0	4627680	1113
2020-04-18	0	64138	0	4663134	1068
2020-04-19	0	65260	0	4700454	1037
2020-04-20	0	66421	0	4750836	1016
2020-04-21	0	67536	0	4793754	981
2020-04-22	0	68571	0	4821744	923
