"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	7293	13
2020-02-28	0	126	0	7854	14
2020-02-29	0	191	0	8415	15
2020-03-01	0	263	0	9537	17
2020-03-02	0	346	0	9537	16
2020-03-03	0	436	0	10659	18
2020-03-04	0	538	0	12342	21
2020-03-05	0	649	0	13464	21
2020-03-06	0	778	0	15708	24
2020-03-07	0	915	0	17391	26
2020-03-08	0	1071	0	20196	32
2020-03-09	0	1252	0	24123	37
2020-03-10	0	1456	0	29733	45
2020-03-11	0	1696	0	34782	52
2020-03-12	0	1979	0	47685	72
2020-03-13	0	2331	0	54978	82
2020-03-14	0	2722	0	66759	101
2020-03-15	0	3161	0	82467	123
2020-03-16	0	3733	0	100980	153
2020-03-17	0	4389	0	120615	182
2020-03-18	0	5173	0	152031	233
2020-03-19	0	6166	0	189618	293
2020-03-20	0	7331	0	236742	365
2020-03-21	0	8576	0	283305	435
2020-03-22	0	9922	0	325380	486
2020-03-23	0	11596	0	380919	575
2020-03-24	0	13522	0	443190	654
2020-03-25	0	15665	0	511071	754
2020-03-26	0	18006	0	574464	840
2020-03-27	0	20606	0	640101	923
2020-03-28	0	23145	0	698445	987
2020-03-29	0	25637	0	750057	1038
2020-03-30	0	28275	0	822426	1122
2020-03-31	0	30841	0	884697	1187
2020-04-01	0	33309	0	927894	1205
2020-04-02	0	35755	0	982872	1250
2020-04-03	0	38207	0	1026069	1277
2020-04-04	0	40448	0	1063095	1282
2020-04-05	0	42639	0	1105731	1306
2020-04-06	0	44950	0	1139952	1313
2020-04-07	0	47121	0	1173612	1315
2020-04-08	0	49152	0	1206150	1286
2020-04-09	0	51008	0	1235322	1283
2020-04-10	0	52775	0	1263372	1290
2020-04-11	0	54355	0	1280202	1260
2020-04-12	0	55879	0	1299276	1241
2020-04-13	0	57394	0	1324521	1225
2020-04-14	0	58923	0	1345839	1203
2020-04-15	0	60366	0	1359864	1178
2020-04-16	0	61698	0	1376694	1144
2020-04-17	0	62988	0	1391280	1113
2020-04-18	0	64138	0	1401939	1068
2020-04-19	0	65260	0	1413159	1037
2020-04-20	0	66421	0	1428306	1016
2020-04-21	0	67536	0	1441209	981
2020-04-22	0	68571	0	1449624	923
2020-04-23	0	69565	0	1458600	882
2020-04-24	0	70503	0	1469259	864
2020-04-25	0	71312	0	1477113	833
2020-04-26	0	72091	0	1484406	806
2020-04-27	0	72854	0	1492260	785
2020-04-28	0	73633	0	1500675	764
2020-04-29	0	74354	0	1507407	736
2020-04-30	0	75051	0	1517505	712
2020-05-01	0	75694	0	1522554	678
2020-05-02	0	76254	0	1527603	639
2020-05-03	0	76798	0	1533774	626
2020-05-04	0	77390	0	1540506	615
2020-05-05	0	77915	0	1542189	574
2020-05-06	0	78455	0	1546116	548
2020-05-07	0	78969	0	1551726	527
2020-05-08	0	79482	0	1555653	495
2020-05-09	0	79947	0	1558458	473
2020-05-10	0	80394	0	1560702	455
2020-05-11	0	80870	0	1565190	449
2020-05-12	0	81317	0	1566312	407
2020-05-13	0	81738	0	1568556	391
2020-05-14	0	82126	0	1573605	365
2020-05-15	0	82493	0	1575288	348
2020-05-16	0	82817	0	1579776	333
2020-05-17	0	83155	0	1582020	327
2020-05-18	0	83525	0	1584264	322
2020-05-19	0	83871	0	1584825	288
2020-05-20	0	84203	0	1585947	278
2020-05-21	0	84501	0	1587069	257
2020-05-22	0	84829	0	1589313	246
2020-05-23	0	85121	0	1591557	231
2020-05-24	0	85405	0	1595484	230
2020-05-25	0	85724	0	1596045	220
2020-05-26	0	86037	0	1598289	197
2020-05-27	0	86320	0	1600533	183
2020-05-28	0	86582	0	1601094	175
2020-05-29	0	86846	0	1602777	165
2020-05-30	0	87093	0	1604460	156
2020-05-31	0	87335	0	1606143	158
2020-06-01	0	87581	0	1608948	156
2020-06-02	0	87849	0	1609509	151
2020-06-03	0	88108	0	1612314	137
2020-06-04	0	88352	0	1615680	135
2020-06-05	0	88579	0	1617363	132
2020-06-06	0	88773	0	1618485	130
2020-06-07	0	88967	0	1620168	129
2020-06-08	0	89161	0	1620168	127
2020-06-09	0	89335	0	1621290	120
2020-06-10	0	89493	0	1622412	117
2020-06-11	0	89655	0	1622973	113
2020-06-12	0	89808	0	1624656	110
2020-06-13	0	89942	0	1625778	108
2020-06-14	0	90075	0	1625778	107
2020-06-15	0	90211	0	1626339	106
2020-06-16	0	90347	0	1627461	97
2020-06-17	0	90475	0	1627461	88
2020-06-18	0	90604	0	1628022	81
2020-06-19	0	90729	0	1628022	74
2020-06-20	0	90835	0	1629144	74
2020-06-21	0	90942	0	1629144	70
2020-06-22	0	91052	0	1630827	72
2020-06-23	0	91163	0	1631388	65
2020-06-24	0	91273	0	1631949	61
2020-06-25	0	91390	0	1631949	59
2020-06-26	0	91503	0	1631949	53
2020-06-27	0	91595	0	1631949	49
2020-06-28	0	91691	0	1631949	45
2020-06-29	0	91796	0	1631949	45
2020-06-30	0	91887	0	1633071	45
2020-07-01	0	91976	0	1633071	41
2020-07-02	0	92058	0	1634754	43
2020-07-03	0	92140	0	1634754	40
2020-07-04	0	92212	0	1635315	41
2020-07-05	0	92287	0	1635315	39
2020-07-06	0	92366	0	1635315	38
2020-07-07	0	92447	0	1635876	36
2020-07-08	0	92526	0	1636998	33
2020-07-09	0	92605	0	1637559	33
2020-07-10	0	92694	0	1638120	34
2020-07-11	0	92775	0	1638120	32
2020-07-12	0	92856	0	1638681	33
2020-07-13	0	92944	0	1638681	32
