"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	2821	13
2020-02-28	0	126	0	3038	14
2020-02-29	0	191	0	3255	15
2020-03-01	0	263	0	3689	17
2020-03-02	0	346	0	3689	16
2020-03-03	0	436	0	4123	18
2020-03-04	0	538	0	4774	21
2020-03-05	0	649	0	5208	21
2020-03-06	0	778	0	6076	24
2020-03-07	0	915	0	6727	26
2020-03-08	0	1071	0	7812	32
2020-03-09	0	1252	0	9331	37
2020-03-10	0	1456	0	11501	45
2020-03-11	0	1696	0	13454	52
2020-03-12	0	1979	0	18445	72
2020-03-13	0	2331	0	21266	82
2020-03-14	0	2722	0	25823	101
2020-03-15	0	3161	0	31899	123
2020-03-16	0	3733	0	39060	153
2020-03-17	0	4389	0	46655	182
2020-03-18	0	5173	0	58807	233
2020-03-19	0	6166	0	73346	293
2020-03-20	0	7331	0	91574	365
2020-03-21	0	8576	0	109585	435
2020-03-22	0	9922	0	125860	486
2020-03-23	0	11596	0	147343	575
2020-03-24	0	13522	0	171430	654
2020-03-25	0	15665	0	197687	754
2020-03-26	0	18006	0	222208	840
2020-03-27	0	20606	0	247597	923
2020-03-28	0	23145	0	270165	987
2020-03-29	0	25637	0	290129	1038
2020-03-30	0	28275	0	318122	1122
2020-03-31	0	30841	0	342209	1187
2020-04-01	0	33309	0	358918	1205
2020-04-02	0	35755	0	380184	1250
2020-04-03	0	38207	0	396893	1277
2020-04-04	0	40448	0	411215	1282
2020-04-05	0	42639	0	427707	1306
2020-04-06	0	44950	0	440944	1313
2020-04-07	0	47121	0	453964	1315
2020-04-08	0	49152	0	466550	1286
2020-04-09	0	51008	0	477834	1283
2020-04-10	0	52775	0	488684	1290
2020-04-11	0	54355	0	495194	1260
2020-04-12	0	55879	0	502572	1241
2020-04-13	0	57394	0	512337	1225
2020-04-14	0	58923	0	520583	1203
2020-04-15	0	60366	0	526008	1178
2020-04-16	0	61698	0	532518	1144
2020-04-17	0	62988	0	538160	1113
2020-04-18	0	64138	0	542283	1068
2020-04-19	0	65260	0	546623	1037
2020-04-20	0	66421	0	552482	1016
2020-04-21	0	67536	0	557473	981
2020-04-22	0	68571	0	560728	923
2020-04-23	0	69565	0	564200	882
2020-04-24	0	70503	0	568323	864
2020-04-25	0	71312	0	571361	833
2020-04-26	0	72091	0	574182	806
2020-04-27	0	72854	0	577220	785
2020-04-28	0	73633	0	580475	764
2020-04-29	0	74354	0	583079	736
2020-04-30	0	75051	0	586985	712
2020-05-01	0	75694	0	588938	678
2020-05-02	0	76254	0	590891	639
2020-05-03	0	76798	0	593278	626
2020-05-04	0	77390	0	595882	615
2020-05-05	0	77915	0	596533	574
2020-05-06	0	78455	0	598052	548
2020-05-07	0	78969	0	600222	527
2020-05-08	0	79482	0	601741	495
2020-05-09	0	79947	0	602826	473
2020-05-10	0	80394	0	603694	455
2020-05-11	0	80870	0	605430	449
2020-05-12	0	81317	0	605864	407
2020-05-13	0	81738	0	606732	391
